;Course;Distance;Coordinate
1;316.29°;0.03nm;"N 60°23.5741' - E  5°18.6389'"
2;277.42°;0.04nm;"N 60°23.5787' - E  5°18.5664'"
3;303.00°;0.17nm;"N 60°23.6730' - E  5°18.2725'"
4;287.02°;1.20nm;"N 60°24.0242' - E  5°15.9471'"
5;272.93°;0.94nm;"N 60°24.0722' - E  5°14.0408'"
6;233.04°;2.27nm;"N 60°22.7089' - E  5°10.3779'"
7;212.62°;0.27nm;"N 60°22.4848' - E  5°10.0877'"
8;175.14°;1.83nm;"N 60°20.6663' - E  5°10.4000'"
9;139.16°;0.72nm;"N 60°20.1252' - E  5°11.3451'"
10;156.02°;0.39nm;"N 60°19.7687' - E  5°11.6654'"
11;172.97°;0.85nm;"N 60°18.9272' - E  5°11.8749'"
12;183.98°;0.64nm;"N 60°18.2843' - E  5°11.7846'"
13;187.55°;0.40nm;"N 60°17.8880' - E  5°11.6786'"
14;190.05°;0.65nm;"N 60°17.2507' - E  5°11.4507'"
15;188.19°;0.46nm;"N 60°16.7913' - E  5°11.3173'"
16;193.92°;0.74nm;"N 60°16.0699' - E  5°10.9567'"
17;202.89°;0.47nm;"N 60°15.6336' - E  5°10.5854'"
18;205.02°;0.48nm;"N 60°15.1983' - E  5°10.1759'"
19;205.67°;0.56nm;"N 60°14.6942' - E  5°09.6878'"
20;171.41°;1.26nm;"N 60°13.4488' - E  5°10.0668'"
21;167.12°;1.50nm;"N 60°11.9859' - E  5°10.7397'"
22;172.83°;1.53nm;"N 60°10.4678' - E  5°11.1236'"
23;177.24°;3.08nm;"N 60°07.3987' - E  5°11.4204'"
24;190.94°;1.33nm;"N 60°06.0951' - E  5°10.9148'"
25;218.11°;1.17nm;"N 60°05.1747' - E  5°09.4671'"
26;223.19°;2.17nm;"N 60°03.5917' - E  5°06.4908'"
27;238.11°;0.26nm;"N 60°03.4528' - E  5°06.0436'"
28;281.88°;0.08nm;"N 60°03.4690' - E  5°05.8896'"
29;330.72°;0.14nm;"N 60°03.5868' - E  5°05.7572'"
