;Course;Distance;Coordinate
1;323.52°;0.01nm;"N 60°39.7186' - E  4°47.3973'"
2;352.57°;0.64nm;"N 60°40.3479' - E  4°47.2297'"
3;355.89°;0.23nm;"N 60°40.5749' - E  4°47.1964'"
4;45.63°;0.65nm;"N 60°41.0291' - E  4°48.1447'"
5;108.64°;1.34nm;"N 60°40.6002' - E  4°50.7388'"
6;159.12°;14.77nm;"N 60°26.8061' - E  5°01.4028'"
7;144.25°;2.33nm;"N 60°24.9158' - E  5°04.1583'"
8;116.93°;1.61nm;"N 60°24.1852' - E  5°07.0680'"
9;112.96°;0.90nm;"N 60°23.8347' - E  5°08.7419'"
10;135.88°;0.87nm;"N 60°23.2131' - E  5°09.9616'"
11;176.02°;2.54nm;"N 60°20.6776' - E  5°10.3179'"
12;135.54°;0.88nm;"N 60°20.0468' - E  5°11.5684'"
13;176.53°;3.38nm;"N 60°16.6730' - E  5°11.9815'"
14;174.51°;0.94nm;"N 60°15.7388' - E  5°12.1624'"
15;170.05°;0.37nm;"N 60°15.3734' - E  5°12.2917'"
16;183.89°;0.60nm;"N 60°14.7786' - E  5°12.2102'"
17;179.59°;0.48nm;"N 60°14.2979' - E  5°12.2171'"
18;139.48°;0.08nm;"N 60°14.2353' - E  5°12.3250'"
19;182.21°;0.21nm;"N 60°14.0283' - E  5°12.3089'"
20;159.17°;0.26nm;"N 60°13.7822' - E  5°12.4975'"
21;148.53°;1.10nm;"N 60°12.8477' - E  5°13.6489'"
22;134.30°;1.08nm;"N 60°12.0969' - E  5°15.1969'"
23;97.37°;0.88nm;"N 60°11.9835' - E  5°16.9577'"
24;41.92°;0.57nm;"N 60°12.4069' - E  5°17.7229'"
25;20.28°;0.34nm;"N 60°12.7242' - E  5°17.9589'"
26;341.04°;0.73nm;"N 60°13.4175' - E  5°17.4791'"
27;5.87°;0.02nm;"N 60°13.4400' - E  5°17.4838'"
