;Course;Distance;Coordinate
1;0.37°;0.05nm;"N 60°23.7752' - E  5°19.3131'"
2;308.41°;0.45nm;"N 60°24.0526' - E  5°18.6045'"
3;279.70°;0.33nm;"N 60°24.1083' - E  5°17.9438'"
4;269.00°;1.82nm;"N 60°24.0758' - E  5°14.2615'"
5;236.06°;2.41nm;"N 60°22.7332' - E  5°10.2276'"
6;186.02°;0.67nm;"N 60°22.0691' - E  5°10.0861'"
7;173.68°;1.41nm;"N 60°20.6663' - E  5°10.4000'"
8;139.16°;0.72nm;"N 60°20.1252' - E  5°11.3451'"
9;156.02°;0.39nm;"N 60°19.7687' - E  5°11.6654'"
10;177.30°;3.87nm;"N 60°15.9055' - E  5°12.0333'"
11;165.95°;0.41nm;"N 60°15.5040' - E  5°12.2358'"
12;162.40°;0.26nm;"N 60°15.2550' - E  5°12.3950'"
13;65.50°;0.53nm;"N 60°15.4738' - E  5°13.3628'"
14;112.18°;0.46nm;"N 60°15.2998' - E  5°14.2228'"
15;58.10°;0.11nm;"N 60°15.3559' - E  5°14.4044'"
