;Course;Distance;Coordinate
1;332.72°;0.02nm;N 60°23.5659' - E  5°18.6655'
2;306.68°;0.32nm;N 60°23.7566' - E  5°18.1471'
3;339.51°;0.54nm;N 60°24.2632' - E  5°17.7637'
4;341.20°;0.42nm;N 60°24.6589' - E  5°17.4908'
5;341.03°;0.24nm;N 60°24.8863' - E  5°17.3325'
6;347.50°;0.28nm;N 60°25.1614' - E  5°17.2090'
7;298.98°;4.97nm;N 60°31.9769' - E  5°04.6525'
8;293.37°;2.31nm;N 60°32.8915' - E  5°00.3430'
9;315.75°;1.10nm;N 60°33.6775' - E  4°58.7847'
10;33.85°;0.40nm;N 60°34.0107' - E  4°59.2396'
11;11.19°;0.61nm;N 60°34.6105' - E  4°59.4811'
12;327.84°;1.31nm;N 60°35.7222' - E  4°58.0570'
13;309.87°;0.79nm;N 60°36.2262' - E  4°56.8276'
14;326.37°;5.64nm;N 60°40.9153' - E  4°50.4536'
15;269.04°;1.53nm;N 60°40.8891' - E  4°47.3260'
16;185.43°;0.95nm;N 60°39.9412' - E  4°47.1420'
17;144.40°;0.21nm;N 60°39.7701' - E  4°47.3919'
18;176.34°;0.05nm;N 60°39.7180' - E  4°47.3988'
