;Course;Distance;Coordinate
1;332.72°;0.02nm;N 60°23.5659' - E  5°18.6655'
2;314.45°;0.25nm;N 60°23.7406' - E  5°18.3052'
3;311.44°;0.24nm;N 60°23.8962' - E  5°17.9482'
4;313.07°;0.25nm;N 60°24.0690' - E  5°17.5740'
5;284.70°;0.34nm;N 60°24.1558' - E  5°16.9041'
6;277.34°;0.96nm;N 60°24.2785' - E  5°14.9724'
7;269.00°;1.82nm;N 60°24.0758' - E  5°14.2615'
8;236.06°;2.41nm;N 60°22.7332' - E  5°10.2276'
9;186.02°;0.67nm;N 60°22.0691' - E  5°10.0861'
10;173.68°;1.41nm;N 60°20.6663' - E  5°10.4000'
11;139.16°;0.72nm;N 60°20.1252' - E  5°11.3451'
12;156.02°;0.39nm;N 60°19.7687' - E  5°11.6654'
13;177.30°;3.87nm;N 60°15.9055' - E  5°12.0333'
14;165.95°;0.41nm;N 60°15.5040' - E  5°12.2358'
15;162.40°;0.26nm;N 60°15.2550' - E  5°12.3950'
16;65.50°;0.53nm;N 60°15.4738' - E  5°13.3628'
17;112.18°;0.46nm;N 60°15.2998' - E  5°14.2228'
18;58.10°;0.11nm;N 60°15.3559' - E  5°14.4044'
