;Course;Distance;Coordinate
1;0.00°;0.00nm;"N 60°23.7188' - E  5°19.3213'"
2;346.30°;0.07nm;"N 60°23.7909' - E  5°19.2857'"
3;309.60°;0.35nm;"N 60°24.0149' - E  5°18.7377'"
4;297.00°;0.18nm;"N 60°24.0982' - E  5°18.4066'"
5;335.44°;2.31nm;"N 60°26.1990' - E  5°16.4608'"
6;344.19°;2.23nm;"N 60°28.3440' - E  5°15.2286'"
7;353.05°;0.68nm;"N 60°29.0136' - E  5°15.0629'"
8;9.50°;1.28nm;"N 60°30.2741' - E  5°15.4912'"
9;15.79°;2.03nm;"N 60°32.2272' - E  5°16.6139'"
10;343.60°;0.67nm;"N 60°32.8693' - E  5°16.2295'"
11;309.20°;1.52nm;"N 60°33.8289' - E  5°13.8344'"
12;0.07°;0.28nm;"N 60°34.1128' - E  5°13.8351'"
13;350.02°;0.19nm;"N 60°34.3016' - E  5°13.7675'"
14;7.93°;0.13nm;"N 60°34.4268' - E  5°13.8030'"
15;351.13°;0.17nm;"N 60°34.5941' - E  5°13.7499'"
16;341.53°;0.17nm;"N 60°34.7588' - E  5°13.6378'"
17;352.98°;0.11nm;"N 60°34.8671' - E  5°13.6107'"
18;327.85°;0.18nm;"N 60°35.0200' - E  5°13.4150'"
19;8.17°;0.26nm;"N 60°35.2816' - E  5°13.4915'"
20;328.92°;1.35nm;"N 60°36.4375' - E  5°12.0719'"
21;329.23°;0.95nm;"N 60°37.2513' - E  5°11.0842'"
22;316.61°;1.68nm;"N 60°38.4702' - E  5°08.7331'"
23;311.59°;0.76nm;"N 60°38.9731' - E  5°07.5770'"
24;320.49°;0.52nm;"N 60°39.3741' - E  5°06.9023'"
25;342.43°;0.10nm;"N 60°39.4659' - E  5°06.8429'"
26;335.02°;0.09nm;"N 60°39.5432' - E  5°06.7694'"
27;358.68°;0.36nm;"N 60°39.9013' - E  5°06.7526'"
28;0.85°;0.75nm;"N 60°40.6503' - E  5°06.7753'"
29;5.89°;0.47nm;"N 60°41.1135' - E  5°06.8729'"
30;15.43°;0.20nm;"N 60°41.3069' - E  5°06.9819'"
31;47.98°;0.01nm;"N 60°41.3160' - E  5°07.0026'"
