;Course;Distance;Coordinate
1;316.29°;0.03nm;"N 60°23.5741' - E  5°18.6389'"
2;277.42°;0.04nm;"N 60°23.5787' - E  5°18.5664'"
3;303.00°;0.17nm;"N 60°23.6730' - E  5°18.2725'"
4;287.02°;1.20nm;"N 60°24.0242' - E  5°15.9471'"
5;272.93°;0.94nm;"N 60°24.0722' - E  5°14.0408'"
6;233.04°;2.27nm;"N 60°22.7089' - E  5°10.3779'"
7;212.62°;0.27nm;"N 60°22.4848' - E  5°10.0877'"
8;175.14°;1.83nm;"N 60°20.6663' - E  5°10.4000'"
9;139.16°;0.72nm;"N 60°20.1252' - E  5°11.3451'"
10;156.02°;0.39nm;"N 60°19.7687' - E  5°11.6654'"
11;172.97°;0.85nm;"N 60°18.9272' - E  5°11.8749'"
12;183.98°;0.64nm;"N 60°18.2843' - E  5°11.7846'"
13;187.55°;0.40nm;"N 60°17.8880' - E  5°11.6786'"
14;190.05°;0.65nm;"N 60°17.2507' - E  5°11.4507'"
15;188.19°;0.46nm;"N 60°16.7913' - E  5°11.3173'"
16;178.13°;0.18nm;"N 60°16.6067' - E  5°11.3294'"
17;191.58°;0.26nm;"N 60°16.3567' - E  5°11.2261'"
18;200.67°;0.22nm;"N 60°16.1520' - E  5°11.0704'"
19;207.47°;0.26nm;"N 60°15.9252' - E  5°10.8326'"
20;204.07°;0.22nm;"N 60°15.7236' - E  5°10.6511'"
21;209.28°;0.29nm;"N 60°15.4702' - E  5°10.3648'"
22;204.66°;0.25nm;"N 60°15.2461' - E  5°10.1574'"
23;215.84°;0.20nm;"N 60°15.0875' - E  5°09.9265'"
24;203.38°;0.26nm;"N 60°14.8514' - E  5°09.7208'"
25;194.28°;0.39nm;"N 60°14.4709' - E  5°09.5256'"
26;182.59°;0.40nm;"N 60°14.0668' - E  5°09.4888'"
27;182.22°;0.47nm;"N 60°13.5936' - E  5°09.4518'"
28;183.35°;0.15nm;"N 60°13.4453' - E  5°09.4344'"
29;170.13°;0.05nm;"N 60°13.3955' - E  5°09.4518'"
