;Course;Distance;Coordinate
1;132.52°;0.08nm;N 60°24.3388' - E  5°13.7604'
2;181.07°;0.12nm;N 60°24.2234' - E  5°13.7561'
3;203.55°;0.19nm;N 60°24.0539' - E  5°13.6065'
1;236.06°;2.41nm;N 60°22.7332' - E  5°10.2276'
2;186.02°;0.67nm;N 60°22.0691' - E  5°10.0861'
3;173.68°;1.41nm;N 60°20.6663' - E  5°10.4000'
4;139.16°;0.72nm;N 60°20.1252' - E  5°11.3451'
5;156.02°;0.39nm;N 60°19.7687' - E  5°11.6654'
6;177.30°;3.87nm;N 60°15.9055' - E  5°12.0333'
7;165.95°;0.41nm;N 60°15.5040' - E  5°12.2358'
8;162.40°;0.26nm;N 60°15.2550' - E  5°12.3950'
9;65.50°;0.53nm;N 60°15.4738' - E  5°13.3628'
10;112.18°;0.46nm;N 60°15.2998' - E  5°14.2228'
11;58.10°;0.11nm;N 60°15.3559' - E  5°14.4044'
