;Course;Distance;Coordinate
1;179.07°;0.01nm;"N 60°15.3530' - E  5°14.4087'"
2;233.48°;0.33nm;"N 60°15.1549' - E  5°13.8695'"
3;207.21°;0.19nm;"N 60°14.9858' - E  5°13.6943'"
4;184.53°;2.21nm;"N 60°12.7805' - E  5°13.3428'"
5;195.73°;3.77nm;"N 60°09.1581' - E  5°11.2927'"
6;180.99°;0.74nm;"N 60°08.4201' - E  5°11.2672'"
7;185.98°;0.56nm;"N 60°07.8684' - E  5°11.1511'"
8;181.85°;0.99nm;"N 60°06.8837' - E  5°11.0874'"
9;185.95°;0.79nm;"N 60°06.1018' - E  5°10.9239'"
10;218.63°;1.40nm;"N 60°05.0067' - E  5°09.1698'"
11;223.88°;2.12nm;"N 60°03.4779' - E  5°06.2256'"
12;262.80°;0.18nm;"N 60°03.4557' - E  5°05.8736'"
13;336.28°;0.15nm;"N 60°03.5891' - E  5°05.7561'"
