;Course;Distance;Coordinate
1;349.06°;0.08nm;"N 60°39.7927' - E  4°47.3740'"
2;346.26°;0.43nm;"N 60°40.2146' - E  4°47.1634'"
3;6.94°;0.58nm;"N 60°40.7933' - E  4°47.3074'"
4;357.43°;4.05nm;"N 60°44.8347' - E  4°46.9358'"
5;341.13°;4.13nm;"N 60°48.7410' - E  4°44.1975'"
6;358.15°;0.48nm;"N 60°49.2209' - E  4°44.1657'"
7;30.37°;1.87nm;"N 60°50.8342' - E  4°46.1069'"
8;91.65°;5.05nm;"N 60°50.6818' - E  4°56.4687'"
9;119.24°;2.47nm;"N 60°49.4751' - E  5°00.8869'"
10;199.46°;0.20nm;"N 60°49.2908' - E  5°00.7533'"
11;182.67°;0.09nm;"N 60°49.2028' - E  5°00.7449'"
12;224.49°;0.33nm;"N 60°48.9672' - E  5°00.2704'"
13;174.53°;0.07nm;"N 60°48.8935' - E  5°00.2848'"
