;Course;Distance;Coordinate
1;229.09°;0.04nm;"N 60°41.2897' - E  5°06.9257'"
2;188.92°;0.06nm;"N 60°41.2267' - E  5°06.9055'"
3;185.74°;0.93nm;"N 60°40.3003' - E  5°06.7154'"
4;177.73°;0.77nm;"N 60°39.5327' - E  5°06.7774'"
5;156.42°;0.10nm;"N 60°39.4421' - E  5°06.8581'"
6;154.10°;0.17nm;"N 60°39.2888' - E  5°07.0100'"
7;140.48°;0.27nm;"N 60°39.0782' - E  5°07.3645'"
8;133.11°;1.40nm;"N 60°38.1210' - E  5°09.4489'"
9;136.36°;0.94nm;"N 60°37.4410' - E  5°10.7704'"
10;146.37°;0.92nm;"N 60°36.6768' - E  5°11.8061'"
11;149.54°;1.67nm;"N 60°35.2419' - E  5°13.5239'"
12;194.62°;0.14nm;"N 60°35.1022' - E  5°13.4496'"
13;195.58°;0.07nm;"N 60°35.0390' - E  5°13.4138'"
14;152.41°;0.22nm;"N 60°34.8428' - E  5°13.6225'"
15;165.36°;0.23nm;"N 60°34.6232' - E  5°13.7392'"
16;172.11°;0.23nm;"N 60°34.3978' - E  5°13.8028'"
17;191.29°;0.10nm;"N 60°34.3030' - E  5°13.7643'"
18;169.40°;0.23nm;"N 60°34.0774' - E  5°13.8502'"
19;180.02°;0.20nm;"N 60°33.8726' - E  5°13.8501'"
20;151.98°;0.17nm;"N 60°33.7245' - E  5°14.0104'"
21;133.01°;0.42nm;"N 60°33.4373' - E  5°14.6366'"
22;132.36°;1.06nm;"N 60°32.7245' - E  5°16.2259'"
23;156.50°;0.36nm;"N 60°32.3948' - E  5°16.5173'"
24;178.51°;0.41nm;"N 60°31.9817' - E  5°16.5392'"
25;187.21°;0.33nm;"N 60°31.6536' - E  5°16.4548'"
26;199.09°;2.17nm;"N 60°29.6081' - E  5°15.0176'"
27;180.07°;1.94nm;"N 60°27.6674' - E  5°15.0127'"
28;167.47°;1.27nm;"N 60°26.4319' - E  5°15.5694'"
29;172.75°;1.56nm;"N 60°24.8897' - E  5°15.9671'"
30;211.94°;0.87nm;"N 60°24.1540' - E  5°15.0383'"
31;268.34°;0.68nm;"N 60°24.1341' - E  5°13.6622'"
32;234.95°;0.88nm;"N 60°23.6313' - E  5°12.2118'"
33;239.92°;1.01nm;"N 60°23.1232' - E  5°10.4370'"
34;308.22°;1.40nm;"N 60°23.9869' - E  5°08.2160'"
35;293.85°;0.85nm;"N 60°24.3290' - E  5°06.6486'"
36;285.85°;0.71nm;"N 60°24.5237' - E  5°05.2588'"
37;258.03°;0.48nm;"N 60°24.4232' - E  5°04.3000'"
38;214.29°;0.67nm;"N 60°23.8735' - E  5°03.5411'"
39;142.82°;0.38nm;"N 60°23.5720' - E  5°04.0039'"
40;64.03°;0.07nm;"N 60°23.6007' - E  5°04.1233'"
