;Course;Distance;Coordinate
1;217.67°;0.07nm;"N 60°23.5545' - E  5°04.0274'"
2;341.06°;0.70nm;"N 60°24.2201' - E  5°03.5648'"
3;54.78°;0.86nm;"N 60°24.7168' - E  5°04.9902'"
4;110.75°;0.67nm;"N 60°24.4795' - E  5°06.2583'"
5;124.08°;0.80nm;"N 60°24.0324' - E  5°07.5958'"
6;107.96°;0.65nm;"N 60°23.8316' - E  5°08.8491'"
7;138.78°;0.93nm;"N 60°23.1357' - E  5°10.0827'"
8;178.62°;1.02nm;"N 60°22.1145' - E  5°10.1324'"
9;174.71°;1.57nm;"N 60°20.5491' - E  5°10.4253'"
10;129.13°;0.62nm;"N 60°20.1603' - E  5°11.3908'"
11;156.34°;0.52nm;"N 60°19.6860' - E  5°11.8106'"
12;184.02°;2.54nm;"N 60°17.1564' - E  5°11.4520'"
13;209.71°;0.63nm;"N 60°16.6074' - E  5°10.8202'"
14;222.93°;1.39nm;"N 60°15.5905' - E  5°08.9138'"
15;168.50°;1.94nm;"N 60°13.6907' - E  5°09.6923'"
16;208.40°;0.28nm;"N 60°13.4472' - E  5°09.4271'"
17;165.84°;0.04nm;"N 60°13.4046' - E  5°09.4488'"
