;Course;Distance;Coordinate
1;34.89°;0.44nm;"N 60°49.2592' - E  5°00.8086'"
2;332.40°;0.40nm;"N 60°49.6109' - E  5°00.4313'"
3;279.39°;0.77nm;"N 60°49.7361' - E  4°58.8766'"
4;227.46°;0.64nm;"N 60°49.3031' - E  4°57.9089'"
5;230.13°;0.96nm;"N 60°48.6890' - E  4°56.4018'"
6;162.39°;0.53nm;"N 60°48.1887' - E  4°56.7274'"
7;128.07°;0.43nm;"N 60°47.9246' - E  4°57.4183'"
8;136.91°;0.31nm;"N 60°47.6952' - E  4°57.8582'"
9;115.32°;0.28nm;"N 60°47.5754' - E  4°58.3771'"
10;132.59°;0.37nm;"N 60°47.3276' - E  4°58.9293'"
11;125.54°;0.31nm;"N 60°47.1495' - E  4°59.4402'"
12;126.98°;0.17nm;"N 60°47.0478' - E  4°59.7170'"
13;162.92°;0.14nm;"N 60°46.9175' - E  4°59.7990'"
14;137.28°;0.35nm;"N 60°46.6591' - E  5°00.2877'"
15;138.48°;0.70nm;"N 60°46.1373' - E  5°01.2336'"
16;137.73°;0.85nm;"N 60°45.5068' - E  5°02.4066'"
17;192.17°;0.20nm;"N 60°45.3131' - E  5°02.3211'"
18;228.43°;0.61nm;"N 60°44.9054' - E  5°01.3805'"
19;151.90°;0.72nm;"N 60°44.2671' - E  5°02.0776'"
20;165.15°;1.23nm;"N 60°43.0829' - E  5°02.7197'"
21;158.02°;0.44nm;"N 60°42.6732' - E  5°03.0578'"
22;132.04°;1.09nm;"N 60°41.9413' - E  5°04.7157'"
23;130.69°;1.11nm;"N 60°41.2178' - E  5°06.4341'"
24;153.42°;0.38nm;"N 60°40.8809' - E  5°06.7783'"
25;182.41°;0.34nm;"N 60°40.5382' - E  5°06.7489'"
26;179.31°;1.02nm;"N 60°39.5165' - E  5°06.7741'"
27;149.41°;0.13nm;"N 60°39.4063' - E  5°06.9070'"
28;148.57°;0.26nm;"N 60°39.1880' - E  5°07.1792'"
29;137.17°;0.65nm;"N 60°38.7132' - E  5°08.0768'"
30;133.18°;2.22nm;"N 60°37.1946' - E  5°11.3738'"
31;151.84°;2.21nm;"N 60°35.2445' - E  5°13.4989'"
32;187.79°;0.23nm;"N 60°35.0142' - E  5°13.4348'"
33;153.88°;0.20nm;"N 60°34.8340' - E  5°13.6147'"
34;167.83°;0.45nm;"N 60°34.3967' - E  5°13.8067'"
35;188.98°;0.15nm;"N 60°34.2444' - E  5°13.7577'"
36;171.96°;0.47nm;"N 60°33.7819' - E  5°13.8906'"
37;132.79°;1.59nm;"N 60°32.7030' - E  5°16.2599'"
38;159.87°;0.55nm;"N 60°32.1834' - E  5°16.6472'"
39;199.99°;3.54nm;"N 60°28.8632' - E  5°14.1966'"
40;163.44°;4.45nm;"N 60°24.6042' - E  5°16.7603'"
41;233.20°;0.48nm;"N 60°24.3199' - E  5°15.9907'"
42;250.45°;1.80nm;"N 60°23.7166' - E  5°12.5560'"
43;226.07°;1.68nm;"N 60°22.5519' - E  5°10.1105'"
44;176.19°;2.01nm;"N 60°20.5524' - E  5°10.3797'"
45;130.87°;0.83nm;"N 60°20.0110' - E  5°11.6437'"
46;177.37°;2.02nm;"N 60°17.9923' - E  5°11.8307'"
47;175.85°;2.57nm;"N 60°15.4284' - E  5°12.2061'"
48;89.85°;0.65nm;"N 60°15.4300' - E  5°13.5125'"
49;118.71°;0.36nm;"N 60°15.2554' - E  5°14.1547'"
50;49.67°;0.17nm;"N 60°15.3633' - E  5°14.4108'"
51;338.74°;0.00nm;"N 60°15.3666' - E  5°14.4083'"
