;Course;Distance;Coordinate
1;332.72°;0.02nm;N 60°23.5659' - E  5°18.6655'
2;314.45°;0.25nm;N 60°23.7406' - E  5°18.3052'
3;311.44°;0.24nm;N 60°23.8962' - E  5°17.9482'
4;313.07°;0.25nm;N 60°24.0690' - E  5°17.5740'
5;284.70°;0.34nm;N 60°24.1558' - E  5°16.9041'
6;273.93°;0.35nm;N 60°24.1798' - E  5°16.1964'
7;235.63°;1.53nm;N 60°23.1302' - E  5°10.9851'
8;285.20°;0.61nm;N 60°23.2905' - E  5°09.7906'
9;316.20°;0.72nm;N 60°23.8070' - E  5°08.7877'
10;295.14°;1.00nm;N 60°24.2310' - E  5°06.9574'
11;321.07°;0.59nm;N 60°24.6921' - E  5°06.2030'
12;269.82°;0.42nm;N 60°24.6908' - E  5°05.3556'
13;231.91°;1.07nm;N 60°24.0291' - E  5°03.6471'
14;166.69°;0.36nm;N 60°23.6766' - E  5°03.8158'
15;131.80°;0.16nm;N 60°23.5686' - E  5°04.0604'
16;42.21°;0.05nm;N 60°23.6041' - E  5°04.1255'
17;340.77°;0.01nm;N 60°23.6175' - E  5°04.1160'
