;Course;Distance;Coordinate
1;39.12°;0.41nm;"N 60°49.2111' - E  5°00.8080'"
2;327.00°;0.48nm;"N 60°49.6145' - E  5°00.2706'"
3;276.66°;0.81nm;"N 60°49.7087' - E  4°58.6134'"
4;254.20°;0.52nm;"N 60°49.5666' - E  4°57.5833'"
5;221.14°;0.35nm;"N 60°49.2995' - E  4°57.1049'"
6;202.11°;0.85nm;"N 60°48.5160' - E  4°56.4522'"
7;151.38°;0.40nm;"N 60°48.1608' - E  4°56.8495'"
8;133.04°;0.41nm;"N 60°47.8808' - E  4°57.4642'"
9;130.69°;0.29nm;"N 60°47.6910' - E  4°57.9165'"
10;111.97°;0.22nm;"N 60°47.6105' - E  4°58.3252'"
11;134.20°;0.29nm;"N 60°47.4091' - E  4°58.7496'"
12;126.77°;0.39nm;"N 60°47.1758' - E  4°59.3892'"
13;129.48°;0.15nm;"N 60°47.0782' - E  4°59.6318'"
14;153.83°;0.21nm;"N 60°46.8903' - E  4°59.8210'"
15;134.72°;0.31nm;"N 60°46.6744' - E  5°00.2677'"
16;139.00°;0.64nm;"N 60°46.1909' - E  5°01.1282'"
17;136.67°;0.81nm;"N 60°45.6023' - E  5°02.2648'"
18;166.96°;0.21nm;"N 60°45.4002' - E  5°02.3606'"
19;207.32°;0.18nm;"N 60°45.2440' - E  5°02.1954'"
20;242.65°;0.31nm;"N 60°45.1033' - E  5°01.6388'"
21;209.92°;0.15nm;"N 60°44.9724' - E  5°01.4845'"
22;168.12°;0.27nm;"N 60°44.7069' - E  5°01.5988'"
23;147.96°;0.34nm;"N 60°44.4183' - E  5°01.9683'"
24;162.50°;1.65nm;"N 60°42.8466' - E  5°02.9813'"
25;147.98°;0.47nm;"N 60°42.4483' - E  5°03.4906'"
26;131.20°;0.85nm;"N 60°41.8873' - E  5°04.7996'"
27;130.73°;0.96nm;"N 60°41.2640' - E  5°06.2782'"
28;149.91°;0.43nm;"N 60°40.8928' - E  5°06.7174'"
29;168.05°;0.29nm;"N 60°40.6108' - E  5°06.8393'"
30;191.06°;0.32nm;"N 60°40.3003' - E  5°06.7154'"
31;177.73°;0.77nm;"N 60°39.5327' - E  5°06.7774'"
32;156.42°;0.10nm;"N 60°39.4421' - E  5°06.8581'"
33;154.10°;0.17nm;"N 60°39.2888' - E  5°07.0100'"
34;140.48°;0.27nm;"N 60°39.0782' - E  5°07.3645'"
35;133.11°;1.40nm;"N 60°38.1210' - E  5°09.4489'"
36;136.36°;0.94nm;"N 60°37.4410' - E  5°10.7704'"
37;146.37°;0.92nm;"N 60°36.6768' - E  5°11.8061'"
38;149.54°;1.67nm;"N 60°35.2419' - E  5°13.5239'"
39;194.62°;0.14nm;"N 60°35.1022' - E  5°13.4496'"
40;195.58°;0.07nm;"N 60°35.0390' - E  5°13.4138'"
41;152.41°;0.22nm;"N 60°34.8428' - E  5°13.6225'"
42;165.36°;0.23nm;"N 60°34.6232' - E  5°13.7392'"
43;172.11°;0.23nm;"N 60°34.3978' - E  5°13.8028'"
44;191.29°;0.10nm;"N 60°34.3030' - E  5°13.7643'"
45;169.40°;0.23nm;"N 60°34.0774' - E  5°13.8502'"
46;180.02°;0.20nm;"N 60°33.8726' - E  5°13.8501'"
47;151.98°;0.17nm;"N 60°33.7245' - E  5°14.0104'"
48;133.01°;0.42nm;"N 60°33.4373' - E  5°14.6366'"
49;132.36°;1.06nm;"N 60°32.7245' - E  5°16.2259'"
50;156.50°;0.36nm;"N 60°32.3948' - E  5°16.5173'"
51;178.51°;0.41nm;"N 60°31.9817' - E  5°16.5392'"
52;187.21°;0.33nm;"N 60°31.6536' - E  5°16.4548'"
53;199.09°;2.17nm;"N 60°29.6081' - E  5°15.0176'"
54;180.07°;1.94nm;"N 60°27.6674' - E  5°15.0127'"
55;167.47°;1.27nm;"N 60°26.4319' - E  5°15.5694'"
56;172.75°;1.56nm;"N 60°24.8897' - E  5°15.9671'"
57;211.94°;0.87nm;"N 60°24.1540' - E  5°15.0383'"
58;268.34°;0.68nm;"N 60°24.1341' - E  5°13.6622'"
59;234.95°;0.88nm;"N 60°23.6313' - E  5°12.2118'"
60;223.73°;1.50nm;"N 60°22.5447' - E  5°10.1094'"
61;180.37°;0.51nm;"N 60°22.0318' - E  5°10.1027'"
62;173.02°;1.48nm;"N 60°20.5669' - E  5°10.4654'"
63;134.52°;0.69nm;"N 60°20.0862' - E  5°11.4530'"
64;162.84°;0.46nm;"N 60°19.6465' - E  5°11.7273'"
65;176.60°;1.22nm;"N 60°18.4326' - E  5°11.8728'"
66;190.21°;1.29nm;"N 60°17.1662' - E  5°11.4128'"
67;193.28°;1.28nm;"N 60°15.9215' - E  5°10.8205'"
68;205.01°;1.24nm;"N 60°14.7975' - E  5°09.7640'"
69;191.97°;0.51nm;"N 60°14.2972' - E  5°09.5505'"
70;182.89°;0.82nm;"N 60°13.4838' - E  5°09.4677'"
71;190.56°;0.09nm;"N 60°13.3931' - E  5°09.4336'"
