;Course;Distance;Coordinate
1;0.37°;0.05nm;"N 60°23.7752' - E  5°19.3131'"
2;308.41°;0.45nm;"N 60°24.0526' - E  5°18.6045'"
3;279.70°;0.33nm;"N 60°24.1083' - E  5°17.9438'"
4;269.00°;1.82nm;"N 60°24.0758' - E  5°14.2615'"
5;236.06°;2.41nm;"N 60°22.7332' - E  5°10.2276'"
6;186.02°;0.67nm;"N 60°22.0691' - E  5°10.0861'"
7;173.68°;1.41nm;"N 60°20.6663' - E  5°10.4000'"
8;139.16°;0.72nm;"N 60°20.1252' - E  5°11.3451'"
9;156.02°;0.39nm;"N 60°19.7687' - E  5°11.6654'"
10;179.55°;2.80nm;"N 60°16.9738' - E  5°11.7098'"
11;202.84°;1.57nm;"N 60°15.5252' - E  5°10.4801'"
12;205.49°;1.06nm;"N 60°14.5646' - E  5°09.5572'"
13;166.05°;2.03nm;"N 60°12.5950' - E  5°10.5420'"
14;158.45°;0.48nm;"N 60°12.1456' - E  5°10.8991'"
15;174.58°;0.59nm;"N 60°11.5581' - E  5°11.0111'"
16;175.98°;2.25nm;"N 60°09.3140' - E  5°11.3277'"
17;181.47°;1.18nm;"N 60°08.1396' - E  5°11.2673'"
18;157.90°;0.42nm;"N 60°07.7517' - E  5°11.5836'"
19;148.72°;0.42nm;"N 60°07.3952' - E  5°12.0184'"
