;Course;Distance;Coordinate
1;67.16°;0.02nm;"N 60°31.0955' - E  5°14.9574'"
2;149.57°;0.24nm;"N 60°30.8906' - E  5°15.2020'"
3;188.39°;2.47nm;"N 60°28.4518' - E  5°14.4718'"
4;162.02°;3.62nm;"N 60°25.0103' - E  5°16.7339'"
5;220.92°;1.10nm;"N 60°24.1795' - E  5°15.2760'"
6;260.25°;0.77nm;"N 60°24.0485' - E  5°13.7340'"
7;231.95°;2.11nm;"N 60°22.7457' - E  5°10.3686'"
8;204.38°;0.41nm;"N 60°22.3698' - E  5°10.0239'"
9;174.76°;0.92nm;"N 60°21.4589' - E  5°10.1928'"
10;174.34°;1.01nm;"N 60°20.4507' - E  5°10.3947'"
11;120.52°;0.62nm;"N 60°20.1366' - E  5°11.4711'"
12;157.86°;0.47nm;"N 60°19.7019' - E  5°11.8283'"
13;180.86°;2.18nm;"N 60°17.5199' - E  5°11.7620'"
14;199.92°;0.74nm;"N 60°16.8208' - E  5°11.2509'"
15;228.03°;1.25nm;"N 60°15.9846' - E  5°09.3774'"
16;169.04°;0.29nm;"N 60°15.7010' - E  5°09.4881'"
17;132.67°;0.31nm;"N 60°15.4898' - E  5°09.9499'"
18;120.06°;0.45nm;"N 60°15.2622' - E  5°10.7425'"
19;108.39°;0.50nm;"N 60°15.1044' - E  5°11.6992'"
20;76.14°;0.37nm;"N 60°15.1924' - E  5°12.4186'"
21;52.78°;0.37nm;"N 60°15.4173' - E  5°13.0155'"
22;96.64°;0.67nm;"N 60°15.3399' - E  5°14.3545'"
23;54.39°;0.03nm;"N 60°15.3587' - E  5°14.4073'"
