;Course;Distance;Coordinate
1;149.95°;0.10nm;"N 60°32.3955' - E  5°17.4128'"
2;240.18°;0.19nm;"N 60°32.2995' - E  5°17.0723'"
3;306.77°;0.29nm;"N 60°32.4723' - E  5°16.6019'"
4;322.69°;0.53nm;"N 60°32.8937' - E  5°15.9488'"
5;311.42°;1.37nm;"N 60°33.8013' - E  5°13.8548'"
6;358.19°;0.33nm;"N 60°34.1298' - E  5°13.8337'"
7;349.03°;0.18nm;"N 60°34.3093' - E  5°13.7628'"
8;10.05°;0.13nm;"N 60°34.4362' - E  5°13.8086'"
9;346.39°;0.23nm;"N 60°34.6636' - E  5°13.6965'"
10;343.63°;0.13nm;"N 60°34.7876' - E  5°13.6223'"
11;355.41°;0.08nm;"N 60°34.8715' - E  5°13.6086'"
12;328.44°;0.18nm;"N 60°35.0211' - E  5°13.4215'"
13;6.28°;0.21nm;"N 60°35.2344' - E  5°13.4693'"
14;339.93°;0.14nm;"N 60°35.3691' - E  5°13.3691'"
15;329.24°;2.42nm;"N 60°37.4499' - E  5°10.8441'"
16;313.46°;2.36nm;"N 60°39.0727' - E  5°07.3480'"
17;326.32°;0.42nm;"N 60°39.4259' - E  5°06.8678'"
18;336.77°;0.13nm;"N 60°39.5415' - E  5°06.7665'"
19;359.68°;0.46nm;"N 60°39.9984' - E  5°06.7612'"
20;0.05°;0.73nm;"N 60°40.7322' - E  5°06.7625'"
21;8.79°;0.58nm;"N 60°41.3018' - E  5°06.9424'"
22;50.65°;0.02nm;"N 60°41.3135' - E  5°06.9714'"
