;Course;Distance;Coordinate
1;143.98°;0.01nm;"N 60°31.0700' - E  5°14.9425'"
2;48.59°;0.12nm;"N 60°31.1461' - E  5°15.1181'"
3;45.70°;0.22nm;"N 60°31.3030' - E  5°15.4449'"
4;41.68°;0.31nm;"N 60°31.5360' - E  5°15.8664'"
5;43.26°;0.48nm;"N 60°31.8862' - E  5°16.5363'"
6;2.75°;0.24nm;"N 60°32.1287' - E  5°16.5600'"
7;349.62°;0.47nm;"N 60°32.5870' - E  5°16.3893'"
8;321.67°;0.41nm;"N 60°32.9078' - E  5°15.8734'"
9;311.48°;1.16nm;"N 60°33.6785' - E  5°14.0990'"
10;330.39°;0.24nm;"N 60°33.8892' - E  5°13.8553'"
11;353.39°;0.40nm;"N 60°34.2904' - E  5°13.7607'"
12;10.53°;0.12nm;"N 60°34.4070' - E  5°13.8048'"
13;348.75°;0.22nm;"N 60°34.6201' - E  5°13.7185'"
14;348.02°;0.23nm;"N 60°34.8477' - E  5°13.6202'"
15;333.12°;0.22nm;"N 60°35.0399' - E  5°13.4219'"
16;8.91°;0.22nm;"N 60°35.2562' - E  5°13.4909'"
17;330.19°;1.82nm;"N 60°36.8330' - E  5°11.6493'"
18;326.72°;0.55nm;"N 60°37.2926' - E  5°11.0342'"
19;319.52°;0.62nm;"N 60°37.7647' - E  5°10.2125'"
20;312.06°;1.40nm;"N 60°38.6983' - E  5°08.1012'"
21;317.04°;0.72nm;"N 60°39.2213' - E  5°07.1073'"
22;330.34°;0.32nm;"N 60°39.5029' - E  5°06.7801'"
23;359.39°;1.01nm;"N 60°40.5143' - E  5°06.7583'"
24;6.47°;0.79nm;"N 60°41.3003' - E  5°06.9402'"
