;Course;Distance;Coordinate
1;94.65°;0.01nm;"N 60°31.0672' - E  5°14.9722'"
2;142.39°;0.01nm;"N 60°31.0554' - E  5°14.9907'"
3;174.67°;0.80nm;"N 60°30.2555' - E  5°15.1423'"
4;233.40°;0.53nm;"N 60°29.9379' - E  5°14.2739'"
5;278.60°;0.77nm;"N 60°30.0524' - E  5°12.7335'"
6;294.53°;4.90nm;"N 60°32.0796' - E  5°03.6792'"
7;297.54°;2.06nm;"N 60°33.0291' - E  4°59.9721'"
8;320.30°;0.83nm;"N 60°33.6658' - E  4°58.8966'"
9;16.36°;1.09nm;"N 60°34.7103' - E  4°59.5209'"
10;323.74°;1.18nm;"N 60°35.6634' - E  4°58.0966'"
11;314.07°;0.98nm;"N 60°36.3447' - E  4°56.6624'"
12;336.26°;0.57nm;"N 60°36.8634' - E  4°56.1974'"
13;317.32°;3.57nm;"N 60°39.4852' - E  4°51.2603'"
14;311.54°;2.15nm;"N 60°40.9070' - E  4°47.9811'"
15;250.65°;0.72nm;"N 60°40.6694' - E  4°46.6003'"
16;186.86°;0.34nm;"N 60°40.3331' - E  4°46.5177'"
17;152.03°;0.41nm;"N 60°39.9739' - E  4°46.9071'"
18;133.72°;0.21nm;"N 60°39.8272' - E  4°47.2202'"
19;106.20°;0.08nm;"N 60°39.8058' - E  4°47.3709'"
