;Course;Distance;Coordinate
1;144.82°;0.08nm;"N 60°32.4232' - E  5°17.3432'"
2;207.10°;1.77nm;"N 60°30.8487' - E  5°15.7063'"
3;202.30°;1.79nm;"N 60°29.1893' - E  5°14.3247'"
4;171.88°;4.73nm;"N 60°24.5150' - E  5°15.6759'"
5;227.20°;0.48nm;"N 60°24.1924' - E  5°14.9705'"
6;244.22°;2.47nm;"N 60°23.1166' - E  5°10.4693'"
7;306.06°;1.31nm;"N 60°23.8887' - E  5°08.3223'"
8;291.33°;0.61nm;"N 60°24.1107' - E  5°07.1705'"
9;300.48°;0.88nm;"N 60°24.5579' - E  5°05.6316'"
10;245.82°;0.87nm;"N 60°24.2029' - E  5°04.0318'"
11;206.57°;0.44nm;"N 60°23.8082' - E  5°03.6322'"
12;140.85°;0.33nm;"N 60°23.5562' - E  5°04.0475'"
13;29.72°;0.07nm;"N 60°23.6178' - E  5°04.1188'"
