;Course;Distance;Coordinate
1;114.99°;0.02nm;"N 60°03.5788' - E  5°05.7904'"
2;153.58°;0.13nm;"N 60°03.4659' - E  5°05.9028'"
3;87.45°;0.12nm;"N 60°03.4711' - E  5°06.1394'"
4;43.73°;2.65nm;"N 60°05.3835' - E  5°09.8092'"
5;36.56°;1.00nm;"N 60°06.1894' - E  5°11.0082'"
6;18.58°;1.34nm;"N 60°07.4629' - E  5°11.8679'"
7;56.04°;1.28nm;"N 60°08.1782' - E  5°14.0016'"
8;44.30°;0.86nm;"N 60°08.7911' - E  5°15.2036'"
9;20.50°;3.24nm;"N 60°11.8193' - E  5°17.4819'"
10;14.25°;0.95nm;"N 60°12.7378' - E  5°17.9513'"
11;342.27°;0.40nm;"N 60°13.1174' - E  5°17.7069'"
12;338.83°;0.33nm;"N 60°13.4219' - E  5°17.4695'"
