;Course;Distance;Coordinate
1;37.25°;0.47nm;"N 60°49.3387' - E  5°00.8369'"
2;310.52°;0.40nm;"N 60°49.5985' - E  5°00.2132'"
3;294.40°;0.43nm;"N 60°49.7777' - E  4°59.4023'"
4;240.46°;1.61nm;"N 60°48.9835' - E  4°56.5295'"
5;206.22°;0.26nm;"N 60°48.7543' - E  4°56.2981'"
6;162.03°;0.26nm;"N 60°48.5085' - E  4°56.4617'"
7;147.69°;0.44nm;"N 60°48.1333' - E  4°56.9479'"
8;138.77°;0.31nm;"N 60°47.9013' - E  4°57.3647'"
9;129.55°;0.25nm;"N 60°47.7400' - E  4°57.7649'"
10;115.58°;0.28nm;"N 60°47.6188' - E  4°58.2838'"
11;131.83°;0.24nm;"N 60°47.4574' - E  4°58.6533'"
12;135.00°;0.26nm;"N 60°47.2747' - E  4°59.0277'"
13;120.44°;0.29nm;"N 60°47.1296' - E  4°59.5334'"
14;147.88°;0.29nm;"N 60°46.8841' - E  4°59.8492'"
15;137.88°;0.23nm;"N 60°46.7111' - E  5°00.1696'"
16;137.68°;0.23nm;"N 60°46.5419' - E  5°00.4851'"
17;137.35°;0.61nm;"N 60°46.0944' - E  5°01.3289'"
18;137.67°;0.66nm;"N 60°45.6064' - E  5°02.2389'"
19;150.88°;0.14nm;"N 60°45.4851' - E  5°02.3773'"
20;191.79°;0.18nm;"N 60°45.3108' - E  5°02.3028'"
21;237.31°;0.35nm;"N 60°45.1208' - E  5°01.6970'"
22;232.67°;0.10nm;"N 60°45.0624' - E  5°01.5402'"
23;189.96°;0.10nm;"N 60°44.9663' - E  5°01.5057'"
24;184.51°;0.09nm;"N 60°44.8804' - E  5°01.4918'"
25;163.37°;0.12nm;"N 60°44.7636' - E  5°01.5632'"
26;156.98°;0.93nm;"N 60°43.9128' - E  5°02.3026'"
27;167.86°;0.59nm;"N 60°43.3368' - E  5°02.5559'"
28;159.39°;0.47nm;"N 60°42.8959' - E  5°02.8949'"
29;143.76°;0.79nm;"N 60°42.2561' - E  5°03.8533'"
30;126.53°;0.80nm;"N 60°41.7803' - E  5°05.1655'"
31;132.54°;0.72nm;"N 60°41.2963' - E  5°06.2426'"
32;151.50°;0.52nm;"N 60°40.8372' - E  5°06.7517'"
33;180.33°;1.12nm;"N 60°39.7142' - E  5°06.7384'"
34;172.09°;0.14nm;"N 60°39.5733' - E  5°06.7783'"
35;165.33°;0.06nm;"N 60°39.5128' - E  5°06.8107'"
36;155.55°;0.13nm;"N 60°39.3938' - E  5°06.9210'"
37;163.16°;0.09nm;"N 60°39.3120' - E  5°06.9715'"
38;139.12°;0.19nm;"N 60°39.1696' - E  5°07.2231'"
39;139.90°;0.35nm;"N 60°38.9008' - E  5°07.6848'"
40;132.96°;0.27nm;"N 60°38.7144' - E  5°08.0933'"
41;133.34°;1.94nm;"N 60°37.3821' - E  5°10.9696'"
42;150.01°;2.47nm;"N 60°35.2454' - E  5°13.4797'"
43;182.23°;0.22nm;"N 60°35.0243' - E  5°13.4621'"
44;158.27°;0.20nm;"N 60°34.8415' - E  5°13.6104'"
45;167.52°;0.40nm;"N 60°34.4558' - E  5°13.7842'"
46;178.80°;0.29nm;"N 60°34.1670' - E  5°13.7965'"
47;165.59°;0.12nm;"N 60°34.0490' - E  5°13.8582'"
48;183.85°;0.29nm;"N 60°33.7566' - E  5°13.8182'"
49;128.94°;0.81nm;"N 60°33.2502' - E  5°15.0926'"
50;130.28°;0.51nm;"N 60°32.9193' - E  5°15.8866'"
51;141.37°;0.66nm;"N 60°32.4031' - E  5°16.7255'"
52;189.90°;1.12nm;"N 60°31.3007' - E  5°16.3346'"
53;202.39°;2.28nm;"N 60°29.1915' - E  5°14.5708'"
54;177.47°;1.54nm;"N 60°27.6497' - E  5°14.7090'"
55;173.05°;3.14nm;"N 60°24.5371' - E  5°15.4777'"
56;203.15°;0.41nm;"N 60°24.1585' - E  5°15.1501'"
57;253.80°;1.05nm;"N 60°23.8652' - E  5°13.1086'"
58;232.46°;1.75nm;"N 60°22.7974' - E  5°10.2985'"
59;186.94°;0.87nm;"N 60°21.9367' - E  5°10.0868'"
60;172.60°;1.39nm;"N 60°20.5642' - E  5°10.4471'"
61;130.90°;0.71nm;"N 60°20.1001' - E  5°11.5295'"
62;173.11°;1.56nm;"N 60°18.5510' - E  5°11.9077'"
63;186.54°;1.28nm;"N 60°17.2758' - E  5°11.6126'"
64;167.97°;0.26nm;"N 60°17.0191' - E  5°11.7229'"
65;179.52°;0.36nm;"N 60°16.6616' - E  5°11.7289'"
66;167.81°;0.29nm;"N 60°16.3752' - E  5°11.8537'"
67;166.51°;0.43nm;"N 60°15.9615' - E  5°12.0538'"
