;Course;Distance;Coordinate
68;166.48°;0.51nm;"N 60°15.4670' - E  5°12.2935'"
69;186.34°;0.46nm;"N 60°15.0151' - E  5°12.1923'"
70;176.15°;0.41nm;"N 60°14.6040' - E  5°12.2481'"
71;184.48°;0.23nm;"N 60°14.3723' - E  5°12.2115'"
72;155.45°;0.13nm;"N 60°14.2562' - E  5°12.3183'"
73;181.41°;0.11nm;"N 60°14.1413' - E  5°12.3127'"
74;166.45°;0.33nm;"N 60°13.8207' - E  5°12.4683'"
75;152.31°;0.32nm;"N 60°13.5392' - E  5°12.7659'"
76;148.81°;0.50nm;"N 60°13.1125' - E  5°13.2858'"
77;142.28°;1.16nm;"N 60°12.1988' - E  5°14.7078'"
78;95.39°;0.98nm;"N 60°12.1071' - E  5°16.6597'"
79;56.81°;0.85nm;"N 60°12.5723' - E  5°18.0917'"
80;340.07°;0.86nm;"N 60°13.3768' - E  5°17.5043'"
81;303.63°;0.04nm;"N 60°13.4005' - E  5°17.4323'"
