;Course;Distance;Coordinate
1;225.06°;0.02nm;"N 60°41.2897' - E  5°06.9375'"
2;191.37°;0.46nm;"N 60°40.8372' - E  5°06.7517'"
3;180.33°;1.12nm;"N 60°39.7142' - E  5°06.7384'"
4;172.09°;0.14nm;"N 60°39.5733' - E  5°06.7783'"
5;165.33°;0.06nm;"N 60°39.5128' - E  5°06.8107'"
6;155.55°;0.13nm;"N 60°39.3938' - E  5°06.9210'"
7;163.16°;0.09nm;"N 60°39.3120' - E  5°06.9715'"
8;139.12°;0.19nm;"N 60°39.1696' - E  5°07.2231'"
9;139.90°;0.35nm;"N 60°38.9008' - E  5°07.6848'"
10;132.96°;0.27nm;"N 60°38.7144' - E  5°08.0933'"
11;133.34°;1.94nm;"N 60°37.3821' - E  5°10.9696'"
12;150.01°;2.47nm;"N 60°35.2454' - E  5°13.4797'"
13;182.23°;0.22nm;"N 60°35.0243' - E  5°13.4621'"
14;158.27°;0.20nm;"N 60°34.8415' - E  5°13.6104'"
15;167.52°;0.40nm;"N 60°34.4558' - E  5°13.7842'"
16;178.80°;0.29nm;"N 60°34.1670' - E  5°13.7965'"
17;165.59°;0.12nm;"N 60°34.0490' - E  5°13.8582'"
18;183.85°;0.29nm;"N 60°33.7566' - E  5°13.8182'"
19;128.94°;0.81nm;"N 60°33.2502' - E  5°15.0926'"
20;130.28°;0.51nm;"N 60°32.9193' - E  5°15.8866'"
21;141.37°;0.66nm;"N 60°32.4031' - E  5°16.7255'"
22;189.90°;1.12nm;"N 60°31.3007' - E  5°16.3346'"
23;202.39°;2.28nm;"N 60°29.1915' - E  5°14.5708'"
24;177.47°;1.54nm;"N 60°27.6497' - E  5°14.7090'"
25;172.05°;3.28nm;"N 60°24.3995' - E  5°15.6285'"
26;209.73°;0.33nm;"N 60°24.1163' - E  5°15.3011'"
27;256.96°;1.11nm;"N 60°23.8652' - E  5°13.1086'"
28;235.17°;1.78nm;"N 60°22.8516' - E  5°10.1624'"
29;182.34°;0.92nm;"N 60°21.9367' - E  5°10.0868'"
30;175.27°;1.42nm;"N 60°20.5260' - E  5°10.3225'"
31;125.48°;0.73nm;"N 60°20.1001' - E  5°11.5295'"
32;173.11°;1.56nm;"N 60°18.5510' - E  5°11.9077'"
33;186.54°;1.28nm;"N 60°17.2758' - E  5°11.6126'"
34;189.86°;0.50nm;"N 60°16.7796' - E  5°11.4386'"
35;196.30°;0.44nm;"N 60°16.3607' - E  5°11.1915'"
36;202.13°;0.41nm;"N 60°15.9846' - E  5°10.8830'"
37;201.95°;0.39nm;"N 60°15.6227' - E  5°10.5890'"
38;212.04°;0.44nm;"N 60°15.2506' - E  5°10.1196'"
39;204.22°;0.45nm;"N 60°14.8443' - E  5°09.7512'"
40;183.21°;0.62nm;"N 60°14.2246' - E  5°09.6811'"
41;173.16°;0.56nm;"N 60°13.6676' - E  5°09.8157'"
42;161.73°;1.11nm;"N 60°12.6149' - E  5°10.5152'"
43;173.10°;2.97nm;"N 60°09.6725' - E  5°11.2307'"
44;178.78°;1.49nm;"N 60°08.1838' - E  5°11.2947'"
45;156.17°;0.83nm;"N 60°07.4212' - E  5°11.9707'"
46;127.32°;0.04nm;"N 60°07.3954' - E  5°12.0385'"
