;Course;Distance;Coordinate
1;214.09°;0.03nm;"N 60°41.2927' - E  5°06.9520'"
2;187.51°;0.76nm;"N 60°40.5382' - E  5°06.7489'"
3;179.31°;1.02nm;"N 60°39.5165' - E  5°06.7741'"
4;149.41°;0.13nm;"N 60°39.4063' - E  5°06.9070'"
5;148.57°;0.26nm;"N 60°39.1880' - E  5°07.1792'"
6;137.17°;0.65nm;"N 60°38.7132' - E  5°08.0768'"
7;133.18°;2.22nm;"N 60°37.1946' - E  5°11.3738'"
8;151.84°;2.21nm;"N 60°35.2445' - E  5°13.4989'"
9;187.79°;0.23nm;"N 60°35.0142' - E  5°13.4348'"
10;153.88°;0.20nm;"N 60°34.8340' - E  5°13.6147'"
11;167.83°;0.45nm;"N 60°34.3967' - E  5°13.8067'"
12;188.98°;0.15nm;"N 60°34.2444' - E  5°13.7577'"
13;171.96°;0.47nm;"N 60°33.7819' - E  5°13.8906'"
14;132.79°;1.59nm;"N 60°32.7030' - E  5°16.2599'"
15;159.87°;0.55nm;"N 60°32.1834' - E  5°16.6472'"
16;199.99°;3.54nm;"N 60°28.8632' - E  5°14.1966'"
17;163.44°;4.45nm;"N 60°24.6042' - E  5°16.7603'"
18;233.20°;0.48nm;"N 60°24.3199' - E  5°15.9907'"
19;250.45°;1.80nm;"N 60°23.7166' - E  5°12.5560'"
20;226.07°;1.68nm;"N 60°22.5519' - E  5°10.1105'"
21;176.19°;2.01nm;"N 60°20.5524' - E  5°10.3797'"
22;130.87°;0.83nm;"N 60°20.0110' - E  5°11.6437'"
23;177.37°;2.02nm;"N 60°17.9923' - E  5°11.8307'"
24;175.85°;2.57nm;"N 60°15.4284' - E  5°12.2061'"
25;89.85°;0.65nm;"N 60°15.4300' - E  5°13.5125'"
26;118.71°;0.36nm;"N 60°15.2554' - E  5°14.1547'"
27;49.67°;0.17nm;"N 60°15.3633' - E  5°14.4108'"
28;338.74°;0.00nm;"N 60°15.3666' - E  5°14.4083'"
