;Course;Distance;Coordinate
1;332.72°;0.02nm;N 60°23.5659' - E  5°18.6655'
2;306.68°;0.32nm;N 60°23.7566' - E  5°18.1471'
3;339.51°;0.54nm;N 60°24.2632' - E  5°17.7637'
4;341.20°;0.42nm;N 60°24.6589' - E  5°17.4908'
5;341.03°;0.24nm;N 60°24.8863' - E  5°17.3325'
6;347.50°;0.28nm;N 60°25.1614' - E  5°17.2090'
7;335.44°;2.31nm;N 60°26.1990' - E  5°16.4608'
8;344.19°;2.23nm;N 60°28.3440' - E  5°15.2286'
9;353.05°;0.68nm;N 60°29.0136' - E  5°15.0629'
10;9.50°;1.28nm;N 60°30.2741' - E  5°15.4912'
11;15.79°;2.03nm;N 60°32.2272' - E  5°16.6139'
12;343.60°;0.67nm;N 60°32.8693' - E  5°16.2295'
13;309.20°;1.52nm;N 60°33.8289' - E  5°13.8344'
14;0.07°;0.28nm;N 60°34.1128' - E  5°13.8351'
15;350.02°;0.19nm;N 60°34.3016' - E  5°13.7675'
16;7.93°;0.13nm;N 60°34.4268' - E  5°13.8030'
17;351.13°;0.17nm;N 60°34.5941' - E  5°13.7499'
18;341.53°;0.17nm;N 60°34.7588' - E  5°13.6378'
19;352.98°;0.11nm;N 60°34.8671' - E  5°13.6107'
20;327.85°;0.18nm;N 60°35.0200' - E  5°13.4150'
21;8.17°;0.26nm;N 60°35.2816' - E  5°13.4915'
22;328.92°;1.35nm;N 60°36.4375' - E  5°12.0719'
23;329.23°;0.95nm;N 60°37.2513' - E  5°11.0842'
24;316.61°;1.68nm;N 60°38.4702' - E  5°08.7331'
25;311.59°;0.76nm;N 60°38.9731' - E  5°07.5770'
26;320.49°;0.52nm;N 60°39.3741' - E  5°06.9023'
27;342.43°;0.10nm;N 60°39.4659' - E  5°06.8429'
28;335.02°;0.09nm;N 60°39.5432' - E  5°06.7694'
29;358.68°;0.36nm;N 60°39.9013' - E  5°06.7526'
30;0.85°;0.75nm;N 60°40.6503' - E  5°06.7753'
31;5.89°;0.47nm;N 60°41.1135' - E  5°06.8729'
32;15.43°;0.20nm;N 60°41.3069' - E  5°06.9819'
33;47.98°;0.01nm;N 60°41.3160' - E  5°07.0026'
