;Course;Distance;Coordinate
1;213.74°;0.06nm;"N 60°41.2438' - E  5°06.8734'"
2;288.04°;0.29nm;"N 60°41.3343' - E  5°06.3057'"
3;307.55°;0.36nm;"N 60°41.5534' - E  5°05.7232'"
4;310.83°;1.74nm;"N 60°42.6884' - E  5°03.0376'"
5;342.40°;1.57nm;"N 60°44.1816' - E  5°02.0687'"
6;336.19°;0.58nm;"N 60°44.7096' - E  5°01.5919'"
7;354.60°;0.25nm;"N 60°44.9592' - E  5°01.5436'"
8;21.51°;0.11nm;"N 60°45.0640' - E  5°01.6281'"
9;50.32°;0.26nm;"N 60°45.2299' - E  5°02.0373'"
10;54.33°;0.18nm;"N 60°45.3369' - E  5°02.3425'"
11;5.59°;0.18nm;"N 60°45.5125' - E  5°02.3777'"
12;320.09°;0.52nm;"N 60°45.9119' - E  5°01.6937'"
13;305.40°;0.14nm;"N 60°45.9928' - E  5°01.4605'"
14;319.71°;0.48nm;"N 60°46.3589' - E  5°00.8249'"
15;318.15°;0.41nm;"N 60°46.6632' - E  5°00.2665'"
16;321.73°;0.13nm;"N 60°46.7657' - E  5°00.1009'"
17;312.85°;0.17nm;"N 60°46.8841' - E  4°59.8393'"
18;333.56°;0.13nm;"N 60°46.9999' - E  4°59.7213'"
19;321.17°;0.20nm;"N 60°47.1592' - E  4°59.4586'"
20;303.61°;0.18nm;"N 60°47.2596' - E  4°59.1491'"
21;304.28°;0.20nm;"N 60°47.3707' - E  4°58.8151'"
22;314.45°;0.29nm;"N 60°47.5757' - E  4°58.3867'"
23;305.02°;0.09nm;"N 60°47.6300' - E  4°58.2279'"
24;288.83°;0.17nm;"N 60°47.6855' - E  4°57.8942'"
25;309.53°;0.39nm;"N 60°47.9357' - E  4°57.2727'"
26;321.26°;0.47nm;"N 60°48.3016' - E  4°56.6708'"
27;338.41°;0.27nm;"N 60°48.5562' - E  4°56.4642'"
28;24.52°;0.44nm;"N 60°48.9531' - E  4°56.8355'"
29;46.48°;0.61nm;"N 60°49.3699' - E  4°57.7359'"
30;61.13°;0.88nm;"N 60°49.7959' - E  4°59.3220'"
31;119.42°;0.80nm;"N 60°49.4041' - E  5°00.7464'"
32;182.07°;0.21nm;"N 60°49.1989' - E  5°00.7312'"
33;226.55°;0.16nm;"N 60°49.0861' - E  5°00.4870'"
34;208.39°;0.21nm;"N 60°48.9024' - E  5°00.2834'"
