;Course;Distance;Coordinate
1;323.52°;0.01nm;"N 60°39.7186' - E  4°47.3973'"
2;352.57°;0.64nm;"N 60°40.3479' - E  4°47.2297'"
3;355.89°;0.23nm;"N 60°40.5749' - E  4°47.1964'"
4;45.63°;0.65nm;"N 60°41.0291' - E  4°48.1447'"
5;108.64°;1.34nm;"N 60°40.6002' - E  4°50.7388'"
6;159.12°;14.77nm;"N 60°26.8061' - E  5°01.4028'"
7;144.25°;2.33nm;"N 60°24.9158' - E  5°04.1583'"
8;116.93°;1.61nm;"N 60°24.1852' - E  5°07.0680'"
9;112.96°;0.90nm;"N 60°23.8347' - E  5°08.7419'"
10;135.88°;0.87nm;"N 60°23.2131' - E  5°09.9616'"
11;176.02°;2.54nm;"N 60°20.6776' - E  5°10.3179'"
12;135.54°;0.88nm;"N 60°20.0468' - E  5°11.5684'"
13;180.24°;3.17nm;"N 60°16.8782' - E  5°11.5414'"
14;165.89°;1.44nm;"N 60°15.4821' - E  5°12.2489'"
15;100.74°;0.94nm;"N 60°15.3072' - E  5°14.1051'"
16;71.88°;0.16nm;"N 60°15.3571' - E  5°14.4125'"
17;32.59°;0.01nm;"N 60°15.3651' - E  5°14.4228'"
