;Course;Distance;Coordinate
1;0.37°;0.05nm;"N 60°23.7752' - E  5°19.3131'"
2;308.41°;0.45nm;"N 60°24.0526' - E  5°18.6045'"
3;279.70°;0.33nm;"N 60°24.1083' - E  5°17.9438'"
4;269.00°;1.82nm;"N 60°24.0758' - E  5°14.2615'"
5;236.06°;2.41nm;"N 60°22.7332' - E  5°10.2276'"
6;186.02°;0.67nm;"N 60°22.0691' - E  5°10.0861'"
7;173.68°;1.41nm;"N 60°20.6663' - E  5°10.4000'"
8;139.16°;0.72nm;"N 60°20.1252' - E  5°11.3451'"
9;156.02°;0.39nm;"N 60°19.7687' - E  5°11.6654'"
10;179.55°;2.80nm;"N 60°16.9738' - E  5°11.7098'"
11;171.12°;1.61nm;"N 60°15.3879' - E  5°12.2090'"
12;178.94°;1.10nm;"N 60°14.2890' - E  5°12.2498'"
13;155.13°;0.10nm;"N 60°14.1954' - E  5°12.3372'"
14;176.93°;0.28nm;"N 60°13.9125' - E  5°12.3678'"
15;151.92°;0.25nm;"N 60°13.6962' - E  5°12.6002'"
16;150.54°;0.72nm;"N 60°13.0730' - E  5°13.3089'"
17;131.01°;0.28nm;"N 60°12.8894' - E  5°13.7339'"
18;142.16°;0.46nm;"N 60°12.5279' - E  5°14.2991'"
19;119.78°;0.55nm;"N 60°12.2559' - E  5°15.2553'"
20;110.71°;0.45nm;"N 60°12.0962' - E  5°16.1053'"
21;85.89°;0.47nm;"N 60°12.1301' - E  5°17.0561'"
22;52.46°;0.50nm;"N 60°12.4340' - E  5°17.8521'"
23;6.86°;0.29nm;"N 60°12.7187' - E  5°17.9210'"
24;344.86°;0.43nm;"N 60°13.1332' - E  5°17.6952'"
25;338.99°;0.31nm;"N 60°13.4180' - E  5°17.4750'"
