;Course;Distance;Coordinate
1;108.97°;0.06nm;"N 60°31.0521' - E  5°15.0926'"
2;166.03°;0.09nm;"N 60°30.9612' - E  5°15.1385'"
3;182.65°;3.43nm;"N 60°27.5372' - E  5°14.8169'"
4;170.01°;3.27nm;"N 60°24.3209' - E  5°15.9641'"
5;258.49°;1.06nm;"N 60°24.1088' - E  5°13.8591'"
6;240.88°;2.02nm;"N 60°23.1279' - E  5°10.2991'"
7;310.24°;1.16nm;"N 60°23.8774' - E  5°08.5057'"
8;298.89°;1.14nm;"N 60°24.4256' - E  5°06.4929'"
9;268.64°;1.16nm;"N 60°24.3979' - E  5°04.1501'"
10;210.98°;0.69nm;"N 60°23.8110' - E  5°03.4369'"
11;130.30°;0.28nm;"N 60°23.6300' - E  5°03.8688'"
12;116.84°;0.11nm;"N 60°23.5792' - E  5°04.0721'"
