;Course;Distance;Coordinate
1;230.05°;0.01nm;"N 60°41.3011' - E  5°06.9618'"
2;205.86°;0.03nm;"N 60°41.2755' - E  5°06.9365'"
3;186.59°;0.06nm;"N 60°41.2178' - E  5°06.9229'"
4;174.95°;0.03nm;"N 60°41.1889' - E  5°06.9281'"
5;185.20°;0.03nm;"N 60°41.1597' - E  5°06.9227'"
6;185.21°;0.02nm;"N 60°41.1409' - E  5°06.9192'"
7;203.19°;0.04nm;"N 60°41.1059' - E  5°06.8885'"
8;209.69°;0.04nm;"N 60°41.0750' - E  5°06.8526'"
9;201.19°;0.04nm;"N 60°41.0339' - E  5°06.8200'"
10;209.92°;0.03nm;"N 60°41.0103' - E  5°06.7923'"
11;193.39°;0.06nm;"N 60°40.9486' - E  5°06.7623'"
12;189.37°;0.05nm;"N 60°40.9040' - E  5°06.7473'"
13;166.45°;0.03nm;"N 60°40.8754' - E  5°06.7614'"
14;164.95°;0.03nm;"N 60°40.8506' - E  5°06.7750'"
15;165.35°;0.03nm;"N 60°40.8258' - E  5°06.7882'"
16;176.20°;0.03nm;"N 60°40.7959' - E  5°06.7923'"
17;182.19°;0.03nm;"N 60°40.7670' - E  5°06.7900'"
18;187.60°;0.02nm;"N 60°40.7451' - E  5°06.7841'"
19;179.64°;0.02nm;"N 60°40.7202' - E  5°06.7844'"
20;180.16°;0.03nm;"N 60°40.6860' - E  5°06.7842'"
21;190.41°;0.03nm;"N 60°40.6561' - E  5°06.7730'"
22;181.93°;0.03nm;"N 60°40.6230' - E  5°06.7707'"
23;179.91°;0.02nm;"N 60°40.6029' - E  5°06.7708'"
24;184.63°;0.01nm;"N 60°40.5936' - E  5°06.7692'"
25;164.25°;0.01nm;"N 60°40.5846' - E  5°06.7744'"
26;187.13°;0.01nm;"N 60°40.5728' - E  5°06.7714'"
27;183.00°;0.02nm;"N 60°40.5563' - E  5°06.7696'"
28;190.31°;0.00nm;"N 60°40.5530' - E  5°06.7684'"
29;188.28°;0.00nm;"N 60°40.5491' - E  5°06.7672'"
30;185.53°;0.03nm;"N 60°40.5200' - E  5°06.7615'"
31;190.51°;0.04nm;"N 60°40.4840' - E  5°06.7479'"
32;182.62°;0.05nm;"N 60°40.4309' - E  5°06.7429'"
33;185.88°;0.13nm;"N 60°40.3003' - E  5°06.7154'"
34;177.73°;0.77nm;"N 60°39.5327' - E  5°06.7774'"
35;156.42°;0.10nm;"N 60°39.4421' - E  5°06.8581'"
36;154.10°;0.17nm;"N 60°39.2888' - E  5°07.0100'"
37;140.48°;0.27nm;"N 60°39.0782' - E  5°07.3645'"
38;133.11°;1.40nm;"N 60°38.1210' - E  5°09.4489'"
39;136.36°;0.94nm;"N 60°37.4410' - E  5°10.7704'"
40;146.37°;0.92nm;"N 60°36.6768' - E  5°11.8061'"
41;149.54°;1.67nm;"N 60°35.2419' - E  5°13.5239'"
42;194.62°;0.14nm;"N 60°35.1022' - E  5°13.4496'"
43;195.58°;0.07nm;"N 60°35.0390' - E  5°13.4138'"
44;152.41°;0.22nm;"N 60°34.8428' - E  5°13.6225'"
45;165.36°;0.23nm;"N 60°34.6232' - E  5°13.7392'"
46;172.11°;0.23nm;"N 60°34.3978' - E  5°13.8028'"
47;191.29°;0.10nm;"N 60°34.3030' - E  5°13.7643'"
48;169.40°;0.23nm;"N 60°34.0774' - E  5°13.8502'"
49;180.02°;0.20nm;"N 60°33.8726' - E  5°13.8501'"
50;151.98°;0.17nm;"N 60°33.7245' - E  5°14.0104'"
51;133.01°;0.42nm;"N 60°33.4373' - E  5°14.6366'"
52;132.36°;1.06nm;"N 60°32.7245' - E  5°16.2259'"
53;156.50°;0.36nm;"N 60°32.3948' - E  5°16.5173'"
54;178.51°;0.41nm;"N 60°31.9817' - E  5°16.5392'"
55;187.21°;0.33nm;"N 60°31.6536' - E  5°16.4548'"
56;199.09°;2.17nm;"N 60°29.6081' - E  5°15.0176'"
57;180.07°;1.94nm;"N 60°27.6674' - E  5°15.0127'"
58;167.47°;1.27nm;"N 60°26.4319' - E  5°15.5694'"
59;172.75°;1.56nm;"N 60°24.8897' - E  5°15.9671'"
60;211.94°;0.87nm;"N 60°24.1540' - E  5°15.0383'"
61;268.34°;0.68nm;"N 60°24.1341' - E  5°13.6622'"
62;234.95°;0.88nm;"N 60°23.6313' - E  5°12.2118'"
63;223.73°;1.50nm;"N 60°22.5447' - E  5°10.1094'"
64;180.37°;0.51nm;"N 60°22.0318' - E  5°10.1027'"
65;173.02°;1.48nm;"N 60°20.5669' - E  5°10.4654'"
66;134.52°;0.69nm;"N 60°20.0862' - E  5°11.4530'"
67;162.84°;0.46nm;"N 60°19.6465' - E  5°11.7273'"
68;176.60°;1.22nm;"N 60°18.4326' - E  5°11.8728'"
69;190.21°;1.29nm;"N 60°17.1662' - E  5°11.4128'"
70;193.28°;1.28nm;"N 60°15.9215' - E  5°10.8205'"
71;205.01°;1.24nm;"N 60°14.7975' - E  5°09.7640'"
72;191.97°;0.51nm;"N 60°14.2972' - E  5°09.5505'"
73;182.89°;0.82nm;"N 60°13.4838' - E  5°09.4677'"
74;190.56°;0.09nm;"N 60°13.3931' - E  5°09.4336'"
