;Course;Distance;Coordinate
1;140.26°;0.08nm;"N 60°32.4194' - E  5°17.3780'"
2;206.23°;0.09nm;"N 60°32.3401' - E  5°17.2986'"
3;214.05°;3.19nm;"N 60°29.6988' - E  5°13.6758'"
4;297.03°;5.03nm;"N 60°31.9796' - E  5°04.5659'"
5;293.75°;2.23nm;"N 60°32.8763' - E  5°00.4163'"
6;318.32°;1.09nm;"N 60°33.6930' - E  4°58.9364'"
7;16.10°;1.11nm;"N 60°34.7593' - E  4°59.5629'"
8;323.01°;1.22nm;"N 60°35.7315' - E  4°58.0710'"
9;313.16°;0.18nm;"N 60°35.8570' - E  4°57.7984'"
10;307.81°;0.61nm;"N 60°36.2279' - E  4°56.8245'"
11;327.14°;1.12nm;"N 60°37.1679' - E  4°55.5867'"
12;315.57°;5.13nm;"N 60°40.8218' - E  4°48.2663'"
13;259.55°;0.55nm;"N 60°40.7227' - E  4°47.1698'"
14;179.43°;0.58nm;"N 60°40.1456' - E  4°47.1816'"
15;167.71°;0.35nm;"N 60°39.8052' - E  4°47.3330'"
16;144.27°;0.05nm;"N 60°39.7622' - E  4°47.3962'"
17;175.87°;0.04nm;"N 60°39.7249' - E  4°47.4017'"
