;Course;Distance;Coordinate
1;323.52°;0.01nm;"N 60°39.7186' - E  4°47.3973'"
2;352.57°;0.64nm;"N 60°40.3479' - E  4°47.2297'"
3;355.89°;0.23nm;"N 60°40.5749' - E  4°47.1964'"
4;45.63°;0.65nm;"N 60°41.0291' - E  4°48.1447'"
5;108.64°;1.34nm;"N 60°40.6002' - E  4°50.7388'"
6;159.12°;14.77nm;"N 60°26.8061' - E  5°01.4028'"
7;144.25°;2.33nm;"N 60°24.9158' - E  5°04.1583'"
8;116.93°;1.61nm;"N 60°24.1852' - E  5°07.0680'"
9;112.96°;0.90nm;"N 60°23.8347' - E  5°08.7419'"
10;135.88°;0.87nm;"N 60°23.2131' - E  5°09.9616'"
11;176.02°;2.54nm;"N 60°20.6776' - E  5°10.3179'"
12;135.54°;0.88nm;"N 60°20.0468' - E  5°11.5684'"
13;188.69°;3.62nm;"N 60°16.4733' - E  5°10.4670'"
14;209.07°;1.35nm;"N 60°15.2955' - E  5°09.1474'"
15;168.50°;1.44nm;"N 60°13.8891' - E  5°09.7236'"
16;167.24°;3.02nm;"N 60°10.9417' - E  5°11.0661'"
17;176.67°;2.01nm;"N 60°08.9415' - E  5°11.2996'"
18;182.12°;2.77nm;"N 60°06.1708' - E  5°11.0934'"
19;219.03°;1.12nm;"N 60°05.3012' - E  5°09.6801'"
20;222.75°;2.18nm;"N 60°03.6998' - E  5°06.7148'"
21;239.48°;0.47nm;"N 60°03.4622' - E  5°05.9073'"
22;329.33°;0.12nm;"N 60°03.5663' - E  5°05.7836'"
