;Course;Distance;Coordinate
1;131.29°;0.06nm;"N 60°32.4421' - E  5°17.3856'"
2;208.82°;1.82nm;"N 60°30.8526' - E  5°15.6092'"
3;193.14°;2.47nm;"N 60°28.4518' - E  5°14.4718'"
4;162.02°;3.62nm;"N 60°25.0103' - E  5°16.7339'"
5;220.92°;1.10nm;"N 60°24.1795' - E  5°15.2760'"
6;260.25°;0.77nm;"N 60°24.0485' - E  5°13.7340'"
7;231.95°;2.11nm;"N 60°22.7457' - E  5°10.3686'"
8;204.38°;0.41nm;"N 60°22.3698' - E  5°10.0239'"
9;174.76°;0.92nm;"N 60°21.4589' - E  5°10.1928'"
10;174.34°;1.01nm;"N 60°20.4507' - E  5°10.3947'"
11;120.52°;0.62nm;"N 60°20.1366' - E  5°11.4711'"
12;157.86°;0.47nm;"N 60°19.7019' - E  5°11.8283'"
13;180.86°;2.18nm;"N 60°17.5199' - E  5°11.7620'"
14;172.69°;0.63nm;"N 60°16.8923' - E  5°11.9244'"
15;172.88°;0.58nm;"N 60°16.3173' - E  5°12.0693'"
16;173.13°;0.63nm;"N 60°15.6891' - E  5°12.2218'"
17;178.95°;0.92nm;"N 60°14.7693' - E  5°12.2558'"
18;184.71°;0.44nm;"N 60°14.3273' - E  5°12.1825'"
19;144.62°;0.14nm;"N 60°14.2107' - E  5°12.3492'"
20;175.95°;0.10nm;"N 60°14.1089' - E  5°12.3637'"
21;166.09°;0.28nm;"N 60°13.8422' - E  5°12.4968'"
22;146.03°;0.31nm;"N 60°13.5876' - E  5°12.8422'"
23;151.80°;0.22nm;"N 60°13.3906' - E  5°13.0548'"
24;149.89°;0.31nm;"N 60°13.1252' - E  5°13.3647'"
25;153.58°;0.34nm;"N 60°12.8240' - E  5°13.6660'"
26;146.90°;0.31nm;"N 60°12.5676' - E  5°14.0023'"
27;131.88°;0.46nm;"N 60°12.2614' - E  5°14.6896'"
28;104.23°;0.62nm;"N 60°12.1081' - E  5°15.9047'"
29;87.00°;0.66nm;"N 60°12.1423' - E  5°17.2208'"
30;33.25°;0.65nm;"N 60°12.6874' - E  5°17.9402'"
31;347.43°;0.30nm;"N 60°12.9768' - E  5°17.8103'"
32;340.24°;0.30nm;"N 60°13.2623' - E  5°17.6038'"
33;342.43°;0.15nm;"N 60°13.4007' - E  5°17.5155'"
34;345.45°;0.04nm;"N 60°13.4373' - E  5°17.4964'"
