;Course;Distance;Coordinate
1;358.78°;0.06nm;"N 60°23.7760' - E  5°19.3108'"
2;307.66°;0.44nm;"N 60°24.0441' - E  5°18.6074'"
3;287.42°;0.51nm;"N 60°24.1968' - E  5°17.6216'"
4;264.33°;2.02nm;"N 60°23.9960' - E  5°13.5460'"
5;235.63°;1.53nm;"N 60°23.1302' - E  5°10.9851'"
6;285.20°;0.61nm;"N 60°23.2905' - E  5°09.7906'"
7;316.20°;0.72nm;"N 60°23.8070' - E  5°08.7877'"
8;295.14°;1.00nm;"N 60°24.2310' - E  5°06.9574'"
9;321.07°;0.59nm;"N 60°24.6921' - E  5°06.2030'"
10;269.82°;0.42nm;"N 60°24.6908' - E  5°05.3556'"
11;231.91°;1.07nm;"N 60°24.0291' - E  5°03.6471'"
12;166.69°;0.36nm;"N 60°23.6766' - E  5°03.8158'"
13;131.80°;0.16nm;"N 60°23.5686' - E  5°04.0604'"
14;42.21°;0.05nm;"N 60°23.6041' - E  5°04.1255'"
15;340.77°;0.01nm;"N 60°23.6175' - E  5°04.1160'"
