;Course;Distance;Coordinate
1;132.52°;0.08nm;N 60°24.3388' - E  5°13.7604'
2;90.86°;0.86nm;N 60°24.3257' - E  5°15.5080'
3;7.83°;0.46nm;N 60°24.7786' - E  5°15.6341'
4;335.44°;2.31nm;N 60°26.1990' - E  5°16.4608'
5;344.19°;2.23nm;N 60°28.3440' - E  5°15.2286'
6;353.05°;0.68nm;N 60°29.0136' - E  5°15.0629'
7;9.50°;1.28nm;N 60°30.2741' - E  5°15.4912'
8;15.79°;2.03nm;N 60°32.2272' - E  5°16.6139'
9;343.60°;0.67nm;N 60°32.8693' - E  5°16.2295'
10;309.20°;1.52nm;N 60°33.8289' - E  5°13.8344'
11;0.07°;0.28nm;N 60°34.1128' - E  5°13.8351'
12;350.02°;0.19nm;N 60°34.3016' - E  5°13.7675'
13;7.93°;0.13nm;N 60°34.4268' - E  5°13.8030'
14;351.13°;0.17nm;N 60°34.5941' - E  5°13.7499'
15;341.53°;0.17nm;N 60°34.7588' - E  5°13.6378'
16;352.98°;0.11nm;N 60°34.8671' - E  5°13.6107'
17;327.85°;0.18nm;N 60°35.0200' - E  5°13.4150'
18;8.17°;0.26nm;N 60°35.2816' - E  5°13.4915'
19;328.92°;1.35nm;N 60°36.4375' - E  5°12.0719'
20;329.23°;0.95nm;N 60°37.2513' - E  5°11.0842'
21;316.61°;1.68nm;N 60°38.4702' - E  5°08.7331'
22;311.59°;0.76nm;N 60°38.9731' - E  5°07.5770'
23;320.49°;0.52nm;N 60°39.3741' - E  5°06.9023'
24;342.43°;0.10nm;N 60°39.4659' - E  5°06.8429'
25;335.02°;0.09nm;N 60°39.5432' - E  5°06.7694'
26;358.68°;0.36nm;N 60°39.9013' - E  5°06.7526'
27;0.85°;0.75nm;N 60°40.6503' - E  5°06.7753'
28;5.89°;0.47nm;N 60°41.1135' - E  5°06.8729'
29;15.43°;0.20nm;N 60°41.3069' - E  5°06.9819'
30;322.53°;0.68nm;N 60°41.5001' - E  5°05.7997'
31;310.54°;1.05nm;N 60°42.1800' - E  5°04.1752'
32;316.58°;0.85nm;N 60°42.8000' - E  5°02.9755'
33;341.87°;1.65nm;N 60°44.3670' - E  5°01.9255'
34;340.28°;0.62nm;N 60°44.9530' - E  5°01.4956'
35;31.11°;0.17nm;N 60°45.0959' - E  5°01.6722'
36;52.08°;0.40nm;N 60°45.3425' - E  5°02.3201'
37;358.98°;0.19nm;N 60°45.5364' - E  5°02.3131'
38;321.92°;0.43nm;N 60°45.8729' - E  5°01.7732'
39;317.35°;0.96nm;N 60°46.5817' - E  5°00.4356'
40;316.98°;0.48nm;N 60°46.9316' - E  4°59.7667'
41;325.87°;0.31nm;N 60°47.1886' - E  4°59.4098'
42;301.15°;0.32nm;N 60°47.3545' - E  4°58.8471'
43;316.72°;0.19nm;N 60°47.4915' - E  4°58.5828'
44;311.39°;0.19nm;N 60°47.6139' - E  4°58.2981'
45;297.08°;0.31nm;N 60°47.7551' - E  4°57.7322'
46;314.72°;0.43nm;N 60°48.0607' - E  4°57.0995'
47;325.03°;0.55nm;N 60°48.5123' - E  4°56.4519'
48;1.83°;0.38nm;N 60°48.8936' - E  4°56.4770'
49;50.26°;1.53nm;N 60°49.8735' - E  4°58.8962'
50;111.77°;1.03nm;N 60°49.4920' - E  5°00.8545'
51;189.50°;0.30nm;N 60°49.1953' - E  5°00.7527'
52;226.07°;0.31nm;N 60°48.9785' - E  5°00.2911'
53;181.70°;0.08nm;N 60°48.8973' - E  5°00.2862'
