;Course;Distance;Coordinate
1;123.52°;0.02nm;"N 60°32.4919' - E  5°17.2834'"
2;208.33°;1.83nm;"N 60°30.8810' - E  5°15.5192'"
3;192.00°;2.49nm;"N 60°28.4518' - E  5°14.4718'"
4;162.02°;3.62nm;"N 60°25.0103' - E  5°16.7339'"
5;220.92°;1.10nm;"N 60°24.1795' - E  5°15.2760'"
6;260.25°;0.77nm;"N 60°24.0485' - E  5°13.7340'"
7;231.95°;2.11nm;"N 60°22.7457' - E  5°10.3686'"
8;204.38°;0.41nm;"N 60°22.3698' - E  5°10.0239'"
9;174.76°;0.92nm;"N 60°21.4589' - E  5°10.1928'"
10;174.34°;1.01nm;"N 60°20.4507' - E  5°10.3947'"
11;120.52°;0.62nm;"N 60°20.1366' - E  5°11.4711'"
12;157.86°;0.47nm;"N 60°19.7019' - E  5°11.8283'"
13;180.86°;2.18nm;"N 60°17.5199' - E  5°11.7620'"
14;199.92°;0.74nm;"N 60°16.8208' - E  5°11.2509'"
15;228.03°;1.25nm;"N 60°15.9846' - E  5°09.3774'"
16;205.49°;0.35nm;"N 60°15.6661' - E  5°09.0712'"
17;181.38°;0.50nm;"N 60°15.1711' - E  5°09.0471'"
18;172.90°;0.69nm;"N 60°14.4871' - E  5°09.2187'"
19;160.51°;0.74nm;"N 60°13.7859' - E  5°09.7184'"
20;165.94°;1.58nm;"N 60°12.2503' - E  5°10.4925'"
21;169.78°;1.23nm;"N 60°11.0427' - E  5°10.9301'"
22;174.51°;1.79nm;"N 60°09.2665' - E  5°11.2729'"
23;179.04°;0.68nm;"N 60°08.5893' - E  5°11.2958'"
24;178.83°;0.53nm;"N 60°08.0551' - E  5°11.3177'"
25;177.78°;0.98nm;"N 60°07.0790' - E  5°11.3936'"
26;191.05°;0.85nm;"N 60°06.2496' - E  5°11.0688'"
27;215.98°;1.15nm;"N 60°05.3227' - E  5°09.7197'"
28;222.03°;1.59nm;"N 60°04.1403' - E  5°07.5843'"
29;229.66°;1.09nm;"N 60°03.4322' - E  5°05.9144'"
30;340.97°;0.14nm;"N 60°03.5621' - E  5°05.8246'"
