;Course;Distance;Coordinate
1;355.76°;0.06nm;"N 60°23.7797' - E  5°19.3061'"
2;310.39°;0.34nm;"N 60°23.9991' - E  5°18.7838'"
3;293.43°;0.34nm;"N 60°24.1331' - E  5°18.1579'"
4;268.09°;1.76nm;"N 60°24.0735' - E  5°14.5935'"
5;236.26°;2.69nm;"N 60°22.5773' - E  5°10.0654'"
6;174.24°;2.07nm;"N 60°20.5184' - E  5°10.4854'"
7;131.48°;0.59nm;"N 60°20.1259' - E  5°11.3822'"
8;159.46°;0.34nm;"N 60°19.8049' - E  5°11.6253'"
9;176.89°;1.81nm;"N 60°18.0025' - E  5°11.8228'"
10;196.19°;1.34nm;"N 60°16.7195' - E  5°11.0713'"
11;221.57°;1.55nm;"N 60°15.5621' - E  5°09.0024'"
12;176.08°;0.93nm;"N 60°14.6307' - E  5°09.1310'"
13;162.16°;0.92nm;"N 60°13.7574' - E  5°09.6971'"
14;201.99°;0.37nm;"N 60°13.4183' - E  5°09.4214'"
15;139.78°;0.03nm;"N 60°13.3980' - E  5°09.4559'"
