;Course;Distance;Coordinate
1;217.67°;0.07nm;"N 60°23.5545' - E  5°04.0274'"
2;341.06°;0.70nm;"N 60°24.2201' - E  5°03.5648'"
3;54.78°;0.86nm;"N 60°24.7168' - E  5°04.9902'"
4;110.75°;0.67nm;"N 60°24.4795' - E  5°06.2583'"
5;124.08°;0.80nm;"N 60°24.0324' - E  5°07.5958'"
6;107.96°;0.65nm;"N 60°23.8316' - E  5°08.8491'"
7;138.78°;0.93nm;"N 60°23.1357' - E  5°10.0827'"
8;178.62°;1.02nm;"N 60°22.1145' - E  5°10.1324'"
9;174.71°;1.57nm;"N 60°20.5491' - E  5°10.4253'"
10;129.13°;0.62nm;"N 60°20.1603' - E  5°11.3908'"
11;156.34°;0.52nm;"N 60°19.6860' - E  5°11.8106'"
12;182.68°;2.47nm;"N 60°17.2181' - E  5°11.5775'"
13;174.11°;0.15nm;"N 60°17.0692' - E  5°11.6084'"
14;194.22°;0.18nm;"N 60°16.8931' - E  5°11.5184'"
15;193.09°;0.27nm;"N 60°16.6270' - E  5°11.3935'"
16;198.91°;0.17nm;"N 60°16.4672' - E  5°11.2832'"
17;197.04°;0.22nm;"N 60°16.2598' - E  5°11.1550'"
18;205.51°;0.21nm;"N 60°16.0679' - E  5°10.9703'"
19;205.51°;0.61nm;"N 60°15.5146' - E  5°10.4381'"
20;206.23°;0.37nm;"N 60°15.1817' - E  5°10.1076'"
21;207.07°;0.55nm;"N 60°14.6939' - E  5°09.6053'"
22;177.37°;0.65nm;"N 60°14.0455' - E  5°09.6651'"
23;168.14°;1.66nm;"N 60°12.4213' - E  5°10.3514'"
24;170.62°;2.84nm;"N 60°09.6250' - E  5°11.2797'"
25;179.77°;1.57nm;"N 60°08.0522' - E  5°11.2922'"
26;183.91°;1.88nm;"N 60°06.1771' - E  5°11.0353'"
27;218.37°;1.31nm;"N 60°05.1490' - E  5°09.4032'"
28;226.54°;2.44nm;"N 60°03.4736' - E  5°05.8628'"
29;336.76°;0.12nm;"N 60°03.5839' - E  5°05.7679'"
