;Course;Distance;Coordinate
1;247.93°;0.05nm;"N 60°41.2959' - E  5°06.9137'"
2;277.98°;0.19nm;"N 60°41.3225' - E  5°06.5266'"
3;298.56°;0.42nm;"N 60°41.5249' - E  5°05.7668'"
4;310.60°;1.52nm;"N 60°42.5152' - E  5°03.4042'"
5;303.62°;2.41nm;"N 60°43.8457' - E  4°59.3080'"
6;266.89°;0.73nm;"N 60°43.8060' - E  4°57.8155'"
7;307.93°;1.52nm;"N 60°44.7418' - E  4°55.3573'"
8;293.20°;1.36nm;"N 60°45.2784' - E  4°52.7932'"
9;270.51°;2.47nm;"N 60°45.2989' - E  4°47.7515'"
10;213.79°;0.63nm;"N 60°44.7781' - E  4°47.0383'"
11;157.77°;2.73nm;"N 60°42.2544' - E  4°49.1455'"
12;209.53°;1.95nm;"N 60°40.5574' - E  4°47.1830'"
13;180.53°;0.45nm;"N 60°40.1114' - E  4°47.1746'"
14;162.74°;0.36nm;"N 60°39.7712' - E  4°47.3903'"
15;175.13°;0.06nm;"N 60°39.7152' - E  4°47.4000'"
