;Course;Distance;Coordinate
1;316.29°;0.03nm;"N 60°23.5741' - E  5°18.6389'"
2;277.42°;0.04nm;"N 60°23.5787' - E  5°18.5664'"
3;303.00°;0.17nm;"N 60°23.6730' - E  5°18.2725'"
4;287.02°;1.20nm;"N 60°24.0242' - E  5°15.9471'"
5;273.56°;0.83nm;"N 60°24.0758' - E  5°14.2615'"
6;236.06°;2.41nm;"N 60°22.7332' - E  5°10.2276'"
7;186.02°;0.67nm;"N 60°22.0691' - E  5°10.0861'"
8;173.68°;1.41nm;"N 60°20.6663' - E  5°10.4000'"
9;139.16°;0.72nm;"N 60°20.1252' - E  5°11.3451'"
10;156.02°;0.39nm;"N 60°19.7687' - E  5°11.6654'"
11;179.55°;2.80nm;"N 60°16.9738' - E  5°11.7098'"
12;171.12°;1.61nm;"N 60°15.3879' - E  5°12.2090'"
13;178.94°;1.10nm;"N 60°14.2890' - E  5°12.2498'"
14;155.13°;0.10nm;"N 60°14.1954' - E  5°12.3372'"
15;176.93°;0.28nm;"N 60°13.9125' - E  5°12.3678'"
16;151.92°;0.25nm;"N 60°13.6962' - E  5°12.6002'"
17;150.54°;0.72nm;"N 60°13.0730' - E  5°13.3089'"
18;131.01°;0.28nm;"N 60°12.8894' - E  5°13.7339'"
19;142.16°;0.46nm;"N 60°12.5279' - E  5°14.2991'"
20;119.78°;0.55nm;"N 60°12.2559' - E  5°15.2553'"
21;110.71°;0.45nm;"N 60°12.0962' - E  5°16.1053'"
22;85.89°;0.47nm;"N 60°12.1301' - E  5°17.0561'"
23;52.46°;0.50nm;"N 60°12.4340' - E  5°17.8521'"
24;6.86°;0.29nm;"N 60°12.7187' - E  5°17.9210'"
25;344.86°;0.43nm;"N 60°13.1332' - E  5°17.6952'"
26;338.99°;0.31nm;"N 60°13.4180' - E  5°17.4750'"
