;Course;Distance;Coordinate
1;19.85°;0.04nm;"N 60°13.4605' - E  5°09.4467'"
2;46.94°;0.05nm;"N 60°13.4976' - E  5°09.5268'"
3;58.77°;0.44nm;"N 60°13.7230' - E  5°10.2755'"
4;75.16°;0.08nm;"N 60°13.7429' - E  5°10.4273'"
5;121.93°;0.28nm;"N 60°13.5954' - E  5°10.9042'"
6;119.94°;0.17nm;"N 60°13.5085' - E  5°11.2078'"
7;69.15°;0.19nm;"N 60°13.5770' - E  5°11.5701'"
8;58.05°;0.32nm;"N 60°13.7487' - E  5°12.1247'"
9;58.80°;0.67nm;"N 60°14.0946' - E  5°13.2754'"
10;16.64°;0.39nm;"N 60°14.4694' - E  5°13.5011'"
11;352.60°;0.16nm;"N 60°14.6285' - E  5°13.4595'"
12;19.91°;0.51nm;"N 60°15.1063' - E  5°13.8082'"
13;46.00°;0.25nm;"N 60°15.2795' - E  5°14.1697'"
14;52.56°;0.12nm;"N 60°15.3530' - E  5°14.3633'"
