;Course;Distance;Coordinate
1;316.29°;0.03nm;"N 60°23.5741' - E  5°18.6389'"
2;277.42°;0.04nm;"N 60°23.5787' - E  5°18.5664'"
3;303.00°;0.17nm;"N 60°23.6730' - E  5°18.2725'"
4;287.02°;1.20nm;"N 60°24.0242' - E  5°15.9471'"
5;273.56°;0.83nm;"N 60°24.0758' - E  5°14.2615'"
6;234.56°;2.36nm;"N 60°22.7089' - E  5°10.3779'"
7;212.62°;0.27nm;"N 60°22.4848' - E  5°10.0877'"
8;175.14°;1.83nm;"N 60°20.6663' - E  5°10.4000'"
9;139.16°;0.72nm;"N 60°20.1252' - E  5°11.3451'"
10;156.02°;0.39nm;"N 60°19.7687' - E  5°11.6654'"
11;172.97°;0.85nm;"N 60°18.9272' - E  5°11.8749'"
12;183.98°;0.64nm;"N 60°18.2843' - E  5°11.7846'"
13;187.55°;0.40nm;"N 60°17.8880' - E  5°11.6786'"
14;190.05°;0.65nm;"N 60°17.2507' - E  5°11.4507'"
15;188.19°;0.46nm;"N 60°16.7913' - E  5°11.3173'"
16;193.92°;0.74nm;"N 60°16.0699' - E  5°10.9567'"
17;202.89°;0.47nm;"N 60°15.6336' - E  5°10.5854'"
18;205.02°;0.48nm;"N 60°15.1983' - E  5°10.1759'"
19;205.67°;0.56nm;"N 60°14.6942' - E  5°09.6878'"
20;171.41°;1.26nm;"N 60°13.4488' - E  5°10.0668'"
21;167.12°;1.50nm;"N 60°11.9859' - E  5°10.7397'"
22;174.65°;1.21nm;"N 60°10.7791' - E  5°10.9669'"
23;172.49°;0.79nm;"N 60°09.9993' - E  5°11.1737'"
24;176.60°;1.34nm;"N 60°08.6649' - E  5°11.3329'"
25;178.12°;0.87nm;"N 60°07.7998' - E  5°11.3898'"
26;140.96°;0.50nm;"N 60°07.4093' - E  5°12.0255'"
