Year,Holdeplassnavn,Holdeplassid,KommuneNavn,NsrQuayID,Longitude,Latitude,Snitt påstigende pr dag,Snitt avstigende pr dag,Snitt ombord pr dag,Totalt påstigende,Totalt avstigende
2023,Hummelsund,12454624,Øygarden,NSR:Quay:51157,"5,05301","60,17194",0,2,"5,7",7,570
2023,Hummelsund,12454625,Øygarden,NSR:Quay:51158,"5,0533","60,17191",3,0,"11,2",746,5
2023,Hummelsund kai,12454626,Øygarden,NSR:Quay:51164,"5,05748","60,17112",0,2,"4,6",7,494
2023,Hummelsund kai,12454627,Øygarden,NSR:Quay:51163,"5,05784","60,17109",3,0,"8,2",665,3
2023,"Hummelsund, Losvegen",12454642,Øygarden,NSR:Quay:51201,"5,04233","60,17225",0,0,"13,0",9,27
2023,"Hummelsund, Losvegen",12454643,Øygarden,NSR:Quay:51200,"5,04243","60,17219",0,0,"14,1",3,5
2023,Hundvin boligfelt,12635919,Alver,NSR:Quay:56848,"5,20315","60,68227",24,0,"25,6",4713,23
2023,Hundvin boligfelt,12635924,Alver,NSR:Quay:56847,"5,20304","60,68238",0,21,"0,4",1,4043
2023,Hundvin kryss,12635921,Alver,NSR:Quay:56856,"5,21785","60,67611",0,0,"25,8",48,0
2023,Hundvin kryss,12635922,Alver,NSR:Quay:56854,"5,2179","60,67618",0,1,"18,9",7,141
2023,"Hundvin, gamlebutikken",12635920,Alver,NSR:Quay:56851,"5,21977","60,6777",1,1,"19,2",145,160
2023,"Hundvin, gamlebutikken",12635923,Alver,NSR:Quay:56852,"5,21988","60,67787",1,0,"26,6",150,2
2023,Hunstadsvingen,12015442,Bergen,NSR:Quay:50172,"5,3509","60,37338",66,305,"1326,6",17148,79397
2023,Hunstadsvingen,12015443,Bergen,NSR:Quay:50171,"5,35086","60,37351",245,56,"1256,7",63604,14657
2023,Husavik,12447106,Austevoll,NSR:Quay:50217,"5,28308","60,0199",2,2,"68,0",577,478
2023,Husavik,12447109,Austevoll,NSR:Quay:50216,"5,283","60,01976",7,3,"57,5",1843,722
2023,Husavik kai,12447132,Austevoll,NSR:Quay:50267,"5,27844","60,01806",5,2,"21,7",1343,636
2023,Husavik kryss,12447108,Austevoll,NSR:Quay:50220,"5,27937","60,01951",0,5,"62,0",68,1354
2023,Husavik kryss,12447113,Austevoll,NSR:Quay:50219,"5,27933","60,0194",0,0,"52,9",68,40
2023,Hylkje,12011327,Bergen,NSR:Quay:53686,"5,35442","60,50524",93,12,"1474,5",24266,3084
2023,Hylkje,12011328,Bergen,NSR:Quay:53687,"5,35268","60,50656",15,95,"1381,8",3796,24693
2023,Høganeset,12463809,Øygarden,NSR:Quay:52502,"5,16816","60,30801",6,0,"37,0",1518,12
2023,Høganeset,12463812,Øygarden,NSR:Quay:52504,"5,16776","60,30818",0,7,"29,0",28,1627
2023,Høgli,12015699,Bergen,NSR:Quay:50992,"5,45878","60,27865",1,0,"25,2",220,8
2023,Høgli,12016614,Bergen,NSR:Quay:50991,"5,45897","60,2786",0,1,"17,6",8,174
2023,Hølbekken,12014258,Bergen,NSR:Quay:55550,"5,47772","60,40831",57,23,"394,1",14770,5923
2023,Hølbekken,12014267,Bergen,NSR:Quay:55551,"5,47787","60,40879",23,55,"363,6",5969,14374
2023,Hølleland,12637327,Alver,NSR:Quay:57582,"5,3908","60,68285",2,0,"6,8",487,17
2023,Hølleland,12637328,Alver,NSR:Quay:57581,"5,39119","60,68312",0,2,"4,3",21,446
2023,Høyden,12464453,Øygarden,NSR:Quay:52869,"5,04302","60,37393",1,0,"17,3",115,9
2023,Høyden,12464454,Øygarden,NSR:Quay:52870,"5,04226","60,3742",0,1,"16,5",66,123
2023,Høyland,12452637,Øygarden,NSR:Quay:50790,"5,1494","60,1967",3,5,"121,7",737,1211
2023,Høyland,12452640,Øygarden,NSR:Quay:50791,"5,14886","60,19747",5,3,"142,3",1395,908
