Cluster_A,Cluster_B,Distance_km,total_population,num_businesses,total_boardings,Flow,Estimated_Flow,Optimized_Flow
0,1,37.855974,537,201,35330,1,2661001.5726413466,2661001.5726413466
0,2,36.377389,537,16,35330,1,229390.19859028896,229390.19859028896
0,3,41.81530899999998,537,334,35330,1,3624046.5639734142,3624046.5639734142
0,4,52.917739,537,26,35330,1,176152.45945545146,176152.45945545146
0,5,28.442920999999995,537,27,35330,1,633188.9062095566,633188.9062095566
0,6,15.754856000000007,537,17,35330,1,1299385.3572295425,1299385.3572295425
0,7,150.27925700000006,537,45,35330,1,37803.53030103398,37803.53030103398
0,8,16.598247000000004,537,285,35330,1,19626295.660637047,19626295.660637047
0,9,28.932166,537,8,35330,1,181320.1266271815,181320.1266271815
0,10,58.83736,537,1130,35330,1,6192842.155255839,6192842.155255839
0,11,13.354339000000005,537,84,35330,1,8936190.45001818,8936190.45001818
0,12,53.455421,537,32,35330,1,212463.53002930962,212463.53002930962
0,13,17.954900000000002,537,23,35330,1,1353567.0626976995,1353567.0626976995
0,14,20.963489000000003,537,180,35330,1,7770756.464668173,7770756.464668173
0,15,19.444677,537,20,35330,1,1003567.1847334711,1003567.1847334711
0,16,58.49611,537,7,35330,1,38811.639638906345,38811.639638906345
0,17,30.850738000000003,537,185,35330,1,3687725.076275116,3687725.076275116
0,18,9.779412000000002,537,164,35330,1,32533911.810138147,32533911.810138147
0,19,14.397123,537,4724,35330,1,432390737.46052414,432390737.46052414
0,20,25.752054,537,239,35330,1,6837417.124830057,6837417.124830057
0,21,165.166706,537,54,35330,1,37554.90501660858,37554.90501660858
0,22,69.18241200000001,537,39,35330,1,154593.46502878374,154593.46502878374
0,23,60.17110700000001,537,41,35330,1,214845.26013724564,214845.26013724564
0,24,36.26400699999999,537,62,35330,1,894454.0459221775,894454.0459221775
0,25,22.585006000000003,537,47,35330,1,1748136.5797837025,1748136.5797837025
0,26,11.76971,537,12,35330,1,1643492.190848328,1643492.190848328
0,27,42.370261,537,188,35330,1,1986796.992384277,1986796.992384277
0,28,51.662407,537,2,35330,1,14216.694983283356,14216.694983283356
